season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1998,18,Charlton Ath,0.0,0.0,Aston Villa,0.0,1.0,0,Steve Dunn,0,0,0,0,2705,Aston Villa,Charlton Ath,283b7d1b-79b2-5a7e-a4e0-5f634762407d,856d8d3c-1ebc-5e84-9388-d9424401da41,Charlton Ath,Aston Villa,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_1998
1998,37,Aston Villa,0.0,0.0,Charlton Ath,3.0,4.0,0,Mike Riley,0,0,0,0,2888,Charlton Ath,Aston Villa,117d63b3-c249-5f69-adfc-fee22bdc9481,856d8d3c-1ebc-5e84-9388-d9424401da41,Aston Villa,Charlton Ath,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_1998
2000,11,Aston Villa,0.0,0.0,Charlton Ath,2.0,1.0,0,Dermot Gallagher,0,0,0,0,3386,Aston Villa,Charlton Ath,8ac9f0a2-bbfa-5448-a62d-8584a183e148,8e170d53-27cd-573f-9e6b-7b11e16e14fd,Aston Villa,Charlton Ath,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_2000
2000,34,Charlton Ath,0.0,0.0,Aston Villa,3.0,3.0,0,Graham Poll,0,0,0,0,3618,draw,draw,c16b785f-0bbe-53a0-acb7-1bba7a79ea06,8e170d53-27cd-573f-9e6b-7b11e16e14fd,Charlton Ath,Aston Villa,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_2000
2001,2,Aston Villa,0.0,0.0,Charlton Ath,1.0,0.0,0,David Pugh,0,0,0,0,3757,Aston Villa,Charlton Ath,35b29934-1224-544b-8321-9002292754d7,5e0fb01d-0f11-5b0d-97f2-2df10289c75e,Aston Villa,Charlton Ath,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_2001
2001,23,Charlton Ath,0.0,0.0,Aston Villa,1.0,2.0,0,Rob Styles,0,0,0,0,3893,Aston Villa,Charlton Ath,119b734d-9a0a-5c4a-9053-89ba86d8cd11,5e0fb01d-0f11-5b0d-97f2-2df10289c75e,Charlton Ath,Aston Villa,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_2001
2002,5,Aston Villa,0.0,0.0,Charlton Ath,2.0,0.0,0,Graham Poll,0,0,0,0,4093,Aston Villa,Charlton Ath,ce3dd349-90dc-5929-815f-391b56d9578f,6cf2b5c8-9e9e-51de-b02c-2342fc1bc942,Aston Villa,Charlton Ath,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_2002
2002,28,Charlton Ath,0.0,0.0,Aston Villa,3.0,0.0,0,Phil Dowd,0,0,0,0,4320,Charlton Ath,Aston Villa,9a4d12fc-e213-548d-89b9-5b3e30d37d21,6cf2b5c8-9e9e-51de-b02c-2342fc1bc942,Charlton Ath,Aston Villa,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_2002
2003,6,Aston Villa,0.0,0.0,Charlton Ath,2.0,1.0,0,Chris Foy,0,0,0,0,4481,Aston Villa,Charlton Ath,efc22f88-1d0e-5441-be45-60106a5552d8,5d5b7fe2-08e5-59dc-ba9a-8fde91451c7d,Aston Villa,Charlton Ath,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_2003
2003,30,Charlton Ath,0.0,0.0,Aston Villa,1.0,2.0,0,Barry Knight,0,0,0,0,4718,Aston Villa,Charlton Ath,b54d0472-53b7-5a07-a55b-d8e0a411e336,5d5b7fe2-08e5-59dc-ba9a-8fde91451c7d,Charlton Ath,Aston Villa,Aston Villa_Charlton Ath,Aston Villa_Charlton Ath_2003
