season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2020,14,West Brom,0.0,2.4,Aston Villa,0.0,3.0,2020-12-20,Martin Atkinson,The Hawthorns,Sun,19:15,0,147,Aston Villa,West Brom,7358bd0a-5cff-545c-99ff-308e629b837d,e96f7e15-6728-5044-8d40-877058f3662d,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2020
2020,33,Aston Villa,3.2,1.5,West Brom,2.0,2.0,2021-04-25,Stuart Attwell,Villa Park,Sun,19:00,0,376,draw,draw,d9181ca0-acc3-56ff-80ec-978c34951c7c,e96f7e15-6728-5044-8d40-877058f3662d,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2020
2002,14,West Brom,0.0,0.0,Aston Villa,0.0,0.0,0,Dermot Gallagher,0,0,0,0,4179,draw,draw,8c132161-d8f6-5b76-a421-ce38162a97ef,8ac6cf78-0322-592c-82ff-de6b26daa34c,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2002
2002,18,Aston Villa,0.0,0.0,West Brom,2.0,1.0,0,Mike Dean,0,0,0,0,4217,Aston Villa,West Brom,b190f717-626b-5452-b400-505fdcfc4802,8ac6cf78-0322-592c-82ff-de6b26daa34c,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2002
2004,2,West Brom,0.0,0.0,Aston Villa,1.0,1.0,0,Mark Halsey,0,0,0,0,4825,draw,draw,be975a07-a45f-5a72-b3d3-4ce35b1c9cdb,6da07bfe-440a-5a67-8748-bbeedc0b10fe,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2004
2004,32,Aston Villa,0.0,0.0,West Brom,1.0,1.0,0,Rob Styles,0,0,0,0,5124,draw,draw,4ac1b1a3-4c55-5540-bc39-ccdfe531927b,6da07bfe-440a-5a67-8748-bbeedc0b10fe,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2004
2005,21,West Brom,0.0,0.0,Aston Villa,1.0,2.0,0,Rob Styles,0,0,0,0,5380,Aston Villa,West Brom,1d44c1c6-ca99-5dfb-8be5-1208733414c0,3f656b06-c887-5181-ae72-60176f8a35db,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2005
2005,33,Aston Villa,0.0,0.0,West Brom,0.0,0.0,0,Mark Halsey,0,0,0,0,5510,draw,draw,dc454d66-970f-5fa3-9bde-6a397139cb83,3f656b06-c887-5181-ae72-60176f8a35db,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2005
2008,5,West Brom,0.0,0.0,Aston Villa,1.0,2.0,0,Mike Dean,0,0,0,0,6373,Aston Villa,West Brom,67700e93-f100-5668-963b-d1236a05de55,cf162d24-43dc-5f0e-9861-1486906cc8e2,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2008
2008,21,Aston Villa,0.0,0.0,West Brom,2.0,1.0,0,Stephen Bennett,0,0,0,0,6526,Aston Villa,West Brom,56e5d718-ee19-5d0f-aa95-cb83508006f0,cf162d24-43dc-5f0e-9861-1486906cc8e2,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2008
