season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1992,4,Chelsea,0.0,0.0,Blackburn,0.0,0.0,0,Stephen Lodge,0,0,0,0,41,draw,draw,bc7b4c83-8233-5ab8-a840-452135f1e590,7147729f-5c90-59b8-8cd9-7e1517a628f4,Chelsea,Blackburn,Blackburn_Chelsea,Blackburn_Chelsea_1992
1992,30,Blackburn,0.0,0.0,Chelsea,2.0,0.0,0,David Allison,0,0,0,0,313,Blackburn,Chelsea,40a9775f-ccf4-5438-b5d6-8b4b8c6ef348,7147729f-5c90-59b8-8cd9-7e1517a628f4,Blackburn,Chelsea,Blackburn_Chelsea,Blackburn_Chelsea_1992
1993,1,Chelsea,0.0,0.0,Blackburn,1.0,2.0,0,Alan Gunn,0,0,0,0,464,Blackburn,Chelsea,2ae7450d-8886-5440-9290-f754681f16e4,7e41329f-758c-5bc0-9c95-c40e120ba569,Chelsea,Blackburn,Blackburn_Chelsea,Blackburn_Chelsea_1993
1993,18,Blackburn,0.0,0.0,Chelsea,2.0,0.0,0,Gerald Ashby,0,0,0,0,658,Blackburn,Chelsea,a0e0160a-98b3-536e-afa6-910094b69a70,7e41329f-758c-5bc0-9c95-c40e120ba569,Blackburn,Chelsea,Blackburn_Chelsea,Blackburn_Chelsea_1993
1994,6,Chelsea,0.0,0.0,Blackburn,1.0,2.0,0,Paul Durkin,0,0,0,0,987,Blackburn,Chelsea,80f09307-4a7b-5db1-94d4-5e1b3c6114f4,59031e3c-79a2-5f6b-a65b-e473b257072d,Chelsea,Blackburn,Blackburn_Chelsea,Blackburn_Chelsea_1994
1994,35,Blackburn,0.0,0.0,Chelsea,2.0,1.0,0,Paul Danson,0,0,0,0,1280,Blackburn,Chelsea,349efa2a-d2f4-5e54-ae00-79435dd9912f,59031e3c-79a2-5f6b-a65b-e473b257072d,Blackburn,Chelsea,Blackburn_Chelsea,Blackburn_Chelsea_1994
1995,11,Blackburn,0.0,0.0,Chelsea,3.0,0.0,0,Paul Durkin,0,0,0,0,1493,Blackburn,Chelsea,9981dccc-e07a-5558-bb01-bb495b45e45e,58cff4b9-1c5b-54de-b0b0-f19ae45440bf,Blackburn,Chelsea,Blackburn_Chelsea,Blackburn_Chelsea_1995
1995,38,Chelsea,0.0,0.0,Blackburn,2.0,3.0,0,Martin Bodenham,0,0,0,0,1761,Blackburn,Chelsea,26df31dd-eaa0-55a4-be43-91a1da87282d,58cff4b9-1c5b-54de-b0b0-f19ae45440bf,Chelsea,Blackburn,Blackburn_Chelsea,Blackburn_Chelsea_1995
1996,13,Blackburn,0.0,0.0,Chelsea,1.0,1.0,0,Graham Barber,0,0,0,0,1890,draw,draw,dcb86d93-c8ba-5082-ac1d-54fd618289fd,d903e664-0b65-5c14-824d-e0917097f3d3,Blackburn,Chelsea,Blackburn_Chelsea,Blackburn_Chelsea_1996
1996,29,Chelsea,0.0,0.0,Blackburn,1.0,1.0,0,Graham Barber,0,0,0,0,2043,draw,draw,06249e83-7fe1-5676-a863-9f0467988486,d903e664-0b65-5c14-824d-e0917097f3d3,Chelsea,Blackburn,Blackburn_Chelsea,Blackburn_Chelsea_1996
1997,15,Blackburn,0.0,0.0,Chelsea,1.0,0.0,0,Stephen Lodge,0,0,0,0,2288,Blackburn,Chelsea,59b4daba-4073-58eb-873d-648b6b8d5067,bc7dc7fb-2afe-5943-81fd-c12001ed8087,Blackburn,Chelsea,Blackburn_Chelsea,Blackburn_Chelsea_1997
1997,31,Chelsea,0.0,0.0,Blackburn,0.0,1.0,0,Paul Alcock,0,0,0,0,2503,Blackburn,Chelsea,4eea9d58-88b8-5f4e-8f68-23547b60c399,bc7dc7fb-2afe-5943-81fd-c12001ed8087,Chelsea,Blackburn,Blackburn_Chelsea,Blackburn_Chelsea_1997
1998,6,Blackburn,0.0,0.0,Chelsea,3.0,4.0,0,Peter Jones,0,0,0,0,2584,Chelsea,Blackburn,6004b596-cb67-5570-8af1-7d69806b86f8,39d64e96-4584-50b0-8bff-5aae77174e36,Blackburn,Chelsea,Blackburn_Chelsea,Blackburn_Chelsea_1998
1998,25,Chelsea,0.0,0.0,Blackburn,1.0,1.0,0,Uriah Rennie,0,0,0,0,2770,draw,draw,2a45fd4b-e177-52c0-a9b6-cc98ec5c0fae,39d64e96-4584-50b0-8bff-5aae77174e36,Chelsea,Blackburn,Blackburn_Chelsea,Blackburn_Chelsea_1998
2001,14,Chelsea,0.0,0.0,Blackburn,0.0,0.0,0,Graham Poll,0,0,0,0,3792,draw,draw,bb0fd7e3-1146-59ed-8430-4a25a63b0147,120da2a1-390e-57d2-b3f5-7e3c58ffa6c5,Chelsea,Blackburn,Blackburn_Chelsea,Blackburn_Chelsea_2001
2001,35,Blackburn,0.0,0.0,Chelsea,0.0,0.0,0,Steve Dunn,0,0,0,0,4003,draw,draw,d9b8d7eb-104c-5d63-a036-1eabf6cb7a2e,120da2a1-390e-57d2-b3f5-7e3c58ffa6c5,Blackburn,Chelsea,Blackburn_Chelsea,Blackburn_Chelsea_2001
2002,5,Blackburn,0.0,0.0,Chelsea,2.0,3.0,0,Mike Riley,0,0,0,0,4090,Chelsea,Blackburn,0b2f8715-05e6-5169-94fb-d442f362b79f,608bc98b-3a50-59ae-8479-0e7a76a117b2,Blackburn,Chelsea,Blackburn_Chelsea,Blackburn_Chelsea_2002
