season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1995,15,Southampton,0.0,0.0,Bolton,1.0,0.0,0,Peter Jones,0,0,0,0,1529,Southampton,Bolton,7b08dd63-8ccc-53b5-8bca-6491984e2898,68dcdf41-cbf3-5075-8fc3-7a95f1d105d0,Southampton,Bolton,Bolton_Southampton,Bolton_Southampton_1995
1995,37,Bolton,0.0,0.0,Southampton,0.0,1.0,0,Gerald Ashby,0,0,0,0,1747,Southampton,Bolton,ec45cc37-16d4-5976-bc0b-273967ed69dc,68dcdf41-cbf3-5075-8fc3-7a95f1d105d0,Bolton,Southampton,Bolton_Southampton,Bolton_Southampton_1995
1997,1,Southampton,0.0,0.0,Bolton,0.0,1.0,0,Martin Bodenham,0,0,0,0,2149,Bolton,Southampton,46f9b15c-885d-595c-8aa2-01556c53ab87,6bf768d7-4dd9-519d-b338-5707bd74d332,Southampton,Bolton,Bolton_Southampton,Bolton_Southampton_1997
1997,22,Bolton,0.0,0.0,Southampton,0.0,0.0,0,Gary Willard,0,0,0,0,2355,draw,draw,e06be1df-0d47-5b3d-936e-25dc065f7de2,6bf768d7-4dd9-519d-b338-5707bd74d332,Bolton,Southampton,Bolton_Southampton,Bolton_Southampton_1997
2001,5,Bolton,0.0,0.0,Southampton,0.0,1.0,0,David Pugh,0,0,0,0,3706,Southampton,Bolton,afc00edd-0f5d-533a-a528-0ad2d86410de,30b8cd85-d5f6-55fe-bcbd-df855529f079,Bolton,Southampton,Bolton_Southampton,Bolton_Southampton_2001
2001,27,Southampton,0.0,0.0,Bolton,0.0,0.0,0,Eddie Wolstenholme,0,0,0,0,3930,draw,draw,6e3762d9-7e64-5089-b8c0-e7cf6d183c8b,30b8cd85-d5f6-55fe-bcbd-df855529f079,Southampton,Bolton,Bolton_Southampton,Bolton_Southampton_2001
2002,8,Bolton,0.0,0.0,Southampton,1.0,1.0,0,Uriah Rennie,0,0,0,0,4119,draw,draw,0131b8ba-5de9-5103-9ba7-8b81821150df,5df19873-a78f-5c2b-8905-8bb7dec38e4e,Bolton,Southampton,Bolton_Southampton,Bolton_Southampton_2002
2002,37,Southampton,0.0,0.0,Bolton,0.0,0.0,0,Phil Dowd,0,0,0,0,4410,draw,draw,1af53a6d-4447-5bc3-ae3f-8e7a3487f582,5df19873-a78f-5c2b-8905-8bb7dec38e4e,Southampton,Bolton,Bolton_Southampton,Bolton_Southampton_2002
2003,12,Bolton,0.0,0.0,Southampton,0.0,0.0,0,Howard Webb,0,0,0,0,4540,draw,draw,88877832-ecad-57b7-827b-0940fe0e23bb,db5de0d8-46c3-5a6d-b868-c3307747d5fb,Bolton,Southampton,Bolton_Southampton,Bolton_Southampton_2003
2003,35,Southampton,0.0,0.0,Bolton,1.0,2.0,0,Steve Dunn,0,0,0,0,4764,Bolton,Southampton,50b9d4b8-da37-535b-b9c7-f711a72caffb,db5de0d8-46c3-5a6d-b868-c3307747d5fb,Southampton,Bolton,Bolton_Southampton,Bolton_Southampton_2003
2004,3,Southampton,0.0,0.0,Bolton,1.0,2.0,0,Steve Dunn,0,0,0,0,4830,Bolton,Southampton,f38b2c8d-c8c0-585b-bfc1-97190fb2d427,39961361-9a63-5eff-b589-7a70d03574b5,Southampton,Bolton,Bolton_Southampton,Bolton_Southampton_2004
2004,34,Bolton,0.0,0.0,Southampton,1.0,1.0,0,Mark Clattenburg,0,0,0,0,5131,draw,draw,68a0ea8c-666b-5d15-a322-4c66ea3872ec,39961361-9a63-5eff-b589-7a70d03574b5,Bolton,Southampton,Bolton_Southampton,Bolton_Southampton_2004
