season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2018,10,Brighton,0.9,1.4,Wolves,1.0,0.0,2018-10-27,Anthony Taylor,The American Express Community Stadium,Sat,15:00,"30,654",99,Brighton,Wolves,e0efe4fa-ac30-5dca-9ac3-888019dad51c,fb85c3a6-35f6-5bc0-9b95-3cd3ac018e34,Brighton,Wolves,Brighton_Wolves,Brighton_Wolves_2018
2018,35,Wolves,2.7,0.2,Brighton,0.0,0.0,2019-04-20,Craig Pawson,Molineux Stadium,Sat,15:00,"31,096",379,draw,draw,716b858c-668c-5c23-a459-b64ac7cb2aee,fb85c3a6-35f6-5bc0-9b95-3cd3ac018e34,Wolves,Brighton,Brighton_Wolves,Brighton_Wolves_2018
2019,16,Brighton,1.2,1.5,Wolves,2.0,2.0,2019-12-08,Jonathan Moss,The American Express Community Stadium,Sun,16:30,"30,189",173,draw,draw,6600fd7f-58aa-5e5e-8370-3b67a7b14e4b,12fb7d00-9c64-5f93-9d41-510b24934a9f,Brighton,Wolves,Brighton_Wolves,Brighton_Wolves_2019
2019,29,Wolves,0.8,0.3,Brighton,0.0,0.0,2020-03-07,Andre Marriner,Molineux Stadium,Sat,15:00,"31,490",308,draw,draw,c79e067e-1493-57e4-88a9-a2b849e4ab6f,12fb7d00-9c64-5f93-9d41-510b24934a9f,Wolves,Brighton,Brighton_Wolves,Brighton_Wolves_2019
2020,17,Brighton,2.2,1.6,Wolves,3.0,3.0,2021-01-02,Andy Madley,The American Express Community Stadium,Sat,17:30,0,175,draw,draw,bbb0d164-fc1d-57ba-9dc5-0604c5f2a8ad,2a92cd86-f39e-507c-a540-8f3a2966aefa,Brighton,Wolves,Brighton_Wolves,Brighton_Wolves_2020
2020,35,Wolves,1.1,0.3,Brighton,2.0,1.0,2021-05-09,Jonathan Moss,Molineux Stadium,Sun,12:00,0,394,Wolves,Brighton,883971ed-8be6-57de-99c7-312c6ee157a1,2a92cd86-f39e-507c-a540-8f3a2966aefa,Wolves,Brighton,Brighton_Wolves,Brighton_Wolves_2020
2021,17,Brighton,1.2,1.0,Wolves,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,48cbe8cf-13f4-5fba-8d51-453a01d56cda,5b28d281-a5f9-5fc9-a5ef-d417b4638aa6,Brighton,Wolves,Brighton_Wolves,Brighton_Wolves_2021
2021,35,Wolves,0.7,2.6,Brighton,0.0,3.0,2022-04-30,Simon Hooper,Molineux Stadium,Sat,15:00,"31,243",391,Brighton,Wolves,05e1b59a-26c8-5505-825e-8e46a5d2da47,5b28d281-a5f9-5fc9-a5ef-d417b4638aa6,Wolves,Brighton,Brighton_Wolves,Brighton_Wolves_2021
2022,15,Wolves,1.2,1.5,Brighton,2.0,3.0,2022-11-05,Graham Scott,Molineux Stadium,Sat,15:00,"30,732",142,Brighton,Wolves,8dda129b-d3bb-55ae-8e01-8d69a90742f0,4474b38d-8eaa-5a0b-b1dc-7602a5c27f4a,Wolves,Brighton,Brighton_Wolves,Brighton_Wolves_2022
2022,34,Brighton,3.3,0.8,Wolves,6.0,0.0,2023-04-29,David Coote,The American Express Community Stadium,Sat,15:00,"31,584",368,Brighton,Wolves,3a460faa-be38-5f98-a175-934a7397d50e,4474b38d-8eaa-5a0b-b1dc-7602a5c27f4a,Brighton,Wolves,Brighton_Wolves,Brighton_Wolves_2022
