season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1998,15,Charlton Ath,0.0,0.0,Everton,1.0,2.0,0,Keith Burge,0,0,0,0,2668,Everton,Charlton Ath,4fd7a506-ec58-5712-be47-208563f6c4a8,31f24426-07da-561f-8cc9-9905ed2def39,Charlton Ath,Everton,Charlton Ath_Everton,Charlton Ath_Everton_1998
1998,35,Everton,0.0,0.0,Charlton Ath,4.0,1.0,0,Paul Alcock,0,0,0,0,2865,Everton,Charlton Ath,aaee5ed3-baa7-559b-a2af-1de9f87003cf,31f24426-07da-561f-8cc9-9905ed2def39,Everton,Charlton Ath,Charlton Ath_Everton,Charlton Ath_Everton_1998
2000,2,Everton,0.0,0.0,Charlton Ath,3.0,0.0,0,Neale Barry,0,0,0,0,3304,Everton,Charlton Ath,e3d7787f-b400-5125-bc58-33548b6e22b7,5e72811b-fa69-56a4-9d7b-65cd48e7103b,Everton,Charlton Ath,Charlton Ath_Everton,Charlton Ath_Everton_2000
2000,19,Charlton Ath,0.0,0.0,Everton,1.0,0.0,0,Graham Barber,0,0,0,0,3466,Charlton Ath,Everton,8aef319d-4d27-595d-aac3-423fe1182a3b,5e72811b-fa69-56a4-9d7b-65cd48e7103b,Charlton Ath,Everton,Charlton Ath_Everton,Charlton Ath_Everton_2000
2001,1,Charlton Ath,0.0,0.0,Everton,1.0,2.0,0,Neale Barry,0,0,0,0,3669,Everton,Charlton Ath,ab0bc2af-32b0-55f0-a01b-27dfaafa89ea,a928f19c-9ba7-5f12-8046-0f86d0ddfbc5,Charlton Ath,Everton,Charlton Ath_Everton,Charlton Ath_Everton_2001
2001,20,Everton,0.0,0.0,Charlton Ath,0.0,3.0,0,Graham Barber,0,0,0,0,3856,Charlton Ath,Everton,d0f77557-7302-564c-9132-0946cc9748e0,a928f19c-9ba7-5f12-8046-0f86d0ddfbc5,Everton,Charlton Ath,Charlton Ath_Everton,Charlton Ath_Everton_2001
2002,13,Everton,0.0,0.0,Charlton Ath,1.0,0.0,0,Rob Styles,0,0,0,0,4171,Everton,Charlton Ath,a39e3fd4-df1f-51ff-a9c0-06ed536f6ae9,24c63f49-1ac3-5117-9e5e-b045b01459d3,Everton,Charlton Ath,Charlton Ath_Everton,Charlton Ath_Everton_2002
2002,27,Charlton Ath,0.0,0.0,Everton,2.0,1.0,0,Jeff Winter,0,0,0,0,4309,Charlton Ath,Everton,ef8238c3-1894-59de-8157-6571da9cb345,24c63f49-1ac3-5117-9e5e-b045b01459d3,Charlton Ath,Everton,Charlton Ath_Everton,Charlton Ath_Everton_2002
2003,3,Charlton Ath,0.0,0.0,Everton,2.0,2.0,0,Steve Dunn,0,0,0,0,4448,draw,draw,8065be34-3a48-51fa-8490-48af15ebf454,746856b7-ce91-5ca2-bf2d-be609531c560,Charlton Ath,Everton,Charlton Ath_Everton,Charlton Ath_Everton_2003
2003,22,Everton,0.0,0.0,Charlton Ath,0.0,1.0,0,Mike Riley,0,0,0,0,4639,Charlton Ath,Everton,a5e24b1b-2f31-5a9c-a8b7-45fb35cd4c81,746856b7-ce91-5ca2-bf2d-be609531c560,Everton,Charlton Ath,Charlton Ath_Everton,Charlton Ath_Everton_2003
2004,20,Charlton Ath,0.0,0.0,Everton,2.0,0.0,0,Mike Riley,0,0,0,0,5000,Charlton Ath,Everton,b308f184-43a7-51a0-8796-fcdb30489ad0,ac79762d-7f05-54cf-b4c9-791a4a672f97,Charlton Ath,Everton,Charlton Ath_Everton,Charlton Ath_Everton_2004
2004,24,Everton,0.0,0.0,Charlton Ath,0.0,1.0,0,Howard Webb,0,0,0,0,5037,Charlton Ath,Everton,f17ad733-cd11-5d76-8b72-7543c23b910f,ac79762d-7f05-54cf-b4c9-791a4a672f97,Everton,Charlton Ath,Charlton Ath_Everton,Charlton Ath_Everton_2004
2005,21,Everton,0.0,0.0,Charlton Ath,3.0,1.0,0,Uriah Rennie,0,0,0,0,5387,Everton,Charlton Ath,c5245e17-27e7-5588-ba4c-bfd3337bc7ef,00775fdc-202f-5bc2-873b-1cbd8840a339,Everton,Charlton Ath,Charlton Ath_Everton,Charlton Ath_Everton_2005
2005,33,Charlton Ath,0.0,0.0,Everton,0.0,0.0,0,Peter Walton,0,0,0,0,5505,draw,draw,ec0c3b6f-b8ec-58f7-b322-abc54f4af385,00775fdc-202f-5bc2-873b-1cbd8840a339,Charlton Ath,Everton,Charlton Ath_Everton,Charlton Ath_Everton_2005
2006,14,Charlton Ath,0.0,0.0,Everton,1.0,1.0,0,Alan Wiley,0,0,0,0,5695,draw,draw,f1b57ece-8297-53b7-8710-0f0bfd995e9a,33901223-9958-52ff-92a0-1c6f701444df,Charlton Ath,Everton,Charlton Ath_Everton,Charlton Ath_Everton_2006
2006,34,Everton,0.0,0.0,Charlton Ath,2.0,1.0,0,Mark Halsey,0,0,0,0,5898,Everton,Charlton Ath,ff9136b2-4f87-5a36-9932-362649204ee8,33901223-9958-52ff-92a0-1c6f701444df,Everton,Charlton Ath,Charlton Ath_Everton,Charlton Ath_Everton_2006
