season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1996,6,Derby County,0.0,0.0,Sunderland,1.0,0.0,0,David Elleray,0,0,0,0,1820,Derby County,Sunderland,3e888ec8-60c6-55fa-8103-889355a4311d,d8ccde35-8e23-5dce-b0e9-0664df6e3dec,Derby County,Sunderland,Derby County_Sunderland,Derby County_Sunderland_1996
1996,19,Sunderland,0.0,0.0,Derby County,2.0,0.0,0,Jeff Winter,0,0,0,0,1954,Sunderland,Derby County,f48c5576-083d-5d23-a4bb-1c3aa6e92d88,d8ccde35-8e23-5dce-b0e9-0664df6e3dec,Sunderland,Derby County,Derby County_Sunderland,Derby County_Sunderland_1996
1999,8,Derby County,0.0,0.0,Sunderland,0.0,5.0,0,Peter Jones,0,0,0,0,2973,Sunderland,Derby County,8db13b3d-b732-5262-8909-a07f6c0325fa,0299bdde-f624-5f39-ac03-ef3adf4b6761,Derby County,Sunderland,Derby County_Sunderland,Derby County_Sunderland_1999
1999,26,Sunderland,0.0,0.0,Derby County,1.0,1.0,0,Alan Wiley,0,0,0,0,3156,draw,draw,09222470-c8dd-5714-9128-1c4228d8cff5,0299bdde-f624-5f39-ac03-ef3adf4b6761,Sunderland,Derby County,Derby County_Sunderland,Derby County_Sunderland_1999
2000,6,Sunderland,0.0,0.0,Derby County,2.0,1.0,0,Paul Taylor,0,0,0,0,3337,Sunderland,Derby County,a733c32c-128a-5cb5-9f07-9532111af95c,492dff2d-ae00-5fc2-a696-f34454df2199,Sunderland,Derby County,Derby County_Sunderland,Derby County_Sunderland_2000
2000,26,Derby County,0.0,0.0,Sunderland,1.0,0.0,0,Barry Knight,0,0,0,0,3539,Derby County,Sunderland,3b4f82d6-7af6-5f9b-93d9-d6a99c6ff52c,492dff2d-ae00-5fc2-a696-f34454df2199,Derby County,Sunderland,Derby County_Sunderland,Derby County_Sunderland_2000
2001,26,Derby County,0.0,0.0,Sunderland,0.0,1.0,0,Graham Poll,0,0,0,0,3916,Sunderland,Derby County,5427f70f-6efb-50aa-9f68-2a431c9880d0,b77d66a8-1f91-5d03-8270-40158668fd04,Derby County,Sunderland,Derby County_Sunderland,Derby County_Sunderland_2001
2001,38,Sunderland,0.0,0.0,Derby County,1.0,1.0,0,Alan Wiley,0,0,0,0,4045,draw,draw,262bc2a4-ebcb-565e-85c1-d04ad3cbcc42,b77d66a8-1f91-5d03-8270-40158668fd04,Sunderland,Derby County,Derby County_Sunderland,Derby County_Sunderland_2001
2007,15,Sunderland,0.0,0.0,Derby County,1.0,0.0,0,Mark Halsey,0,0,0,0,6088,Sunderland,Derby County,c07b0684-c025-55b4-8c65-c59c11dfff65,ae41d034-4ff7-57cd-87c0-305fc1940a23,Sunderland,Derby County,Derby County_Sunderland,Derby County_Sunderland_2007
2007,28,Derby County,0.0,0.0,Sunderland,0.0,0.0,0,Mike Riley,0,0,0,0,6219,draw,draw,b4d65b52-0271-5f76-b394-0d27846c7def,ae41d034-4ff7-57cd-87c0-305fc1940a23,Derby County,Sunderland,Derby County_Sunderland,Derby County_Sunderland_2007
