season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2019,5,Norwich City,1.5,2.3,Manchester City,3.0,2.0,2019-09-14,Kevin Friend,Carrow Road,Sat,17:30,"27,035",50,Norwich City,Manchester City,2807e179-afda-537e-96db-59c74d0372c3,d3669c03-b383-5aea-8f1a-00abc1490cc4,Norwich City,Manchester City,Manchester City_Norwich City,Manchester City_Norwich City_2019
2019,38,Manchester City,3.2,1.0,Norwich City,5.0,0.0,2020-07-26,Craig Pawson,Etihad Stadium,Sun,16:00,0,414,Manchester City,Norwich City,c05815fa-a258-585f-a298-148ff0499918,d3669c03-b383-5aea-8f1a-00abc1490cc4,Manchester City,Norwich City,Manchester City_Norwich City,Manchester City_Norwich City_2019
2021,2,Manchester City,2.6,0.1,Norwich City,5.0,0.0,2021-08-21,Graham Scott,Etihad Stadium,Sat,15:00,"51,437",13,Manchester City,Norwich City,34776554-3c1f-5b47-941c-1b65c029c348,7476be58-70af-569e-ab8f-538f71118325,Manchester City,Norwich City,Manchester City_Norwich City,Manchester City_Norwich City_2021
2021,25,Norwich City,0.4,4.6,Manchester City,0.0,4.0,2022-02-12,Andre Marriner,Carrow Road,Sat,17:30,"27,010",256,Manchester City,Norwich City,67f200b1-aaf2-5598-8d72-9551187b4e54,7476be58-70af-569e-ab8f-538f71118325,Norwich City,Manchester City,Manchester City_Norwich City,Manchester City_Norwich City_2021
1992,4,Manchester City,0.0,0.0,Norwich City,3.0,1.0,0,David Elleray,0,0,0,0,40,Manchester City,Norwich City,1e14ea38-6b02-54f1-a903-0fc18cb7fcbd,946e357e-8781-56ed-a7f3-be2ea8819db4,Manchester City,Norwich City,Manchester City_Norwich City,Manchester City_Norwich City_1992
1992,30,Norwich City,0.0,0.0,Manchester City,2.0,1.0,0,Brian Hill,0,0,0,0,303,Norwich City,Manchester City,efe4632e-962c-5167-acd5-c1747fb8bfa5,946e357e-8781-56ed-a7f3-be2ea8819db4,Norwich City,Manchester City,Manchester City_Norwich City,Manchester City_Norwich City_1992
1993,15,Norwich City,0.0,0.0,Manchester City,1.0,1.0,0,Keith Hackett,0,0,0,0,624,draw,draw,4cbf16b7-589c-59b1-85e2-32814c7974ad,1e8e059f-abf0-5456-b919-81e608a40b78,Norwich City,Manchester City,Manchester City_Norwich City,Manchester City_Norwich City_1993
1993,39,Manchester City,0.0,0.0,Norwich City,1.0,1.0,0,David Elleray,0,0,0,0,873,draw,draw,2e7524a6-e3b3-56d2-9df8-a4e9d53747f5,1e8e059f-abf0-5456-b919-81e608a40b78,Manchester City,Norwich City,Manchester City_Norwich City,Manchester City_Norwich City_1993
1994,7,Manchester City,0.0,0.0,Norwich City,2.0,0.0,0,Graham Poll,0,0,0,0,992,Manchester City,Norwich City,0371c3d3-f1ba-50d2-a7be-c7993c56954b,d13302ef-01c2-57f9-a634-d55e1f3410cb,Manchester City,Norwich City,Manchester City_Norwich City,Manchester City_Norwich City_1994
1994,32,Norwich City,0.0,0.0,Manchester City,1.0,1.0,0,Dermot Gallagher,0,0,0,0,1247,draw,draw,b2c55507-d326-5c7a-9322-41965da998b0,d13302ef-01c2-57f9-a634-d55e1f3410cb,Norwich City,Manchester City,Manchester City_Norwich City,Manchester City_Norwich City_1994
