season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1992,12,Norwich City,0.0,0.0,QPR,2.0,1.0,0,Dermot Gallagher,0,0,0,0,128,Norwich City,QPR,587ad095-534c-5809-94e6-068b74a24f04,552022c0-388b-5130-8fda-3d2125b70d63,Norwich City,QPR,Norwich City_QPR,Norwich City_QPR_1992
1992,32,QPR,0.0,0.0,Norwich City,3.0,1.0,0,Rodger Gifford,0,0,0,0,336,QPR,Norwich City,753e8ccd-7a50-5da9-95f7-cf4407897257,552022c0-388b-5130-8fda-3d2125b70d63,QPR,Norwich City,Norwich City_QPR,Norwich City_QPR_1992
1993,8,QPR,0.0,0.0,Norwich City,2.0,2.0,0,Roger Milford,0,0,0,0,546,draw,draw,e3a09d33-da3d-5d13-88e6-18dc6bd33c85,109a8933-aebb-51aa-bc03-626c1c59abb1,QPR,Norwich City,Norwich City_QPR,Norwich City_QPR_1993
1993,33,Norwich City,0.0,0.0,QPR,3.0,4.0,0,David Allison,0,0,0,0,798,QPR,Norwich City,ac7b7954-6a2e-5655-8d7c-41c9b0c59257,109a8933-aebb-51aa-bc03-626c1c59abb1,Norwich City,QPR,Norwich City_QPR,Norwich City_QPR_1993
1994,11,Norwich City,0.0,0.0,QPR,4.0,2.0,0,Mike Reed,0,0,0,0,1037,Norwich City,QPR,5ded185d-5795-5007-8878-c23d04bb280e,c8e5f727-587c-55af-a6c0-4b9233cb02ca,Norwich City,QPR,Norwich City_QPR,Norwich City_QPR_1994
1994,25,QPR,0.0,0.0,Norwich City,2.0,0.0,0,Gerald Ashby,0,0,0,0,1273,QPR,Norwich City,cd84a75a-3cd5-54ec-9b9e-6b1f6098b3ec,c8e5f727-587c-55af-a6c0-4b9233cb02ca,QPR,Norwich City,Norwich City_QPR,Norwich City_QPR_1994
2011,13,Norwich City,0.0,0.0,QPR,2.0,1.0,0,Mark Clattenburg,0,0,0,0,7585,Norwich City,QPR,2dff5fe2-26f8-53fe-9e09-a6d7e272c347,7adf9999-a517-5fd5-a423-1e4063fc12ac,Norwich City,QPR,Norwich City_QPR,Norwich City_QPR_2011
2011,20,QPR,0.0,0.0,Norwich City,1.0,2.0,0,Neil Swarbrick,0,0,0,0,7658,Norwich City,QPR,7ee36ffe-d803-51e7-a10c-0309fa3ec4dd,7adf9999-a517-5fd5-a423-1e4063fc12ac,QPR,Norwich City,Norwich City_QPR,Norwich City_QPR_2011
2012,2,Norwich City,0.0,0.0,QPR,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7859,draw,draw,8a8793c5-1524-599e-b251-ff8464af44d7,bab6cc99-e956-5028-8554-e634107a62b2,Norwich City,QPR,Norwich City_QPR,Norwich City_QPR_2012
2012,25,QPR,0.0,0.0,Norwich City,0.0,0.0,0,Jon Moss,0,0,0,0,8090,draw,draw,c69a65ae-35c6-5355-add9-e83026ef8782,bab6cc99-e956-5028-8554-e634107a62b2,QPR,Norwich City,Norwich City_QPR,Norwich City_QPR_2012
