season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2017,1,Southampton,2.0,0.3,Swansea City,0.0,0.0,2017-08-12,Mike Jones,St. Mary's Stadium,Sat,15:00,"31,447",6,draw,draw,dc15af2b-dbe7-5e77-b39e-50ed898629ff,ecc934bb-2503-5ab3-a5b6-6e8923792699,Southampton,Swansea City,Southampton_Swansea City,Southampton_Swansea City_2017
2017,31,Swansea City,0.5,1.2,Southampton,0.0,1.0,2018-05-08,Michael Oliver,Liberty Stadium,Tue,19:45,"20,858",404,Southampton,Swansea City,6cdf9f10-b847-56a2-97a2-117ad5f06912,ecc934bb-2503-5ab3-a5b6-6e8923792699,Swansea City,Southampton,Southampton_Swansea City,Southampton_Swansea City_2017
2012,11,Southampton,0.0,0.0,Swansea City,1.0,1.0,0,Andre Marriner,0,0,0,0,7950,draw,draw,44f28714-7ff1-5e59-a580-e2df4fa774f1,9f72c90a-6d5a-502e-a5e4-625708cd4fed,Southampton,Swansea City,Southampton_Swansea City,Southampton_Swansea City_2012
2012,34,Swansea City,0.0,0.0,Southampton,0.0,0.0,0,Mark Halsey,0,0,0,0,8176,draw,draw,ef163467-bae3-566c-b99a-bd1806f08db2,9f72c90a-6d5a-502e-a5e4-625708cd4fed,Swansea City,Southampton,Southampton_Swansea City,Southampton_Swansea City_2012
2013,7,Southampton,0.0,0.0,Swansea City,2.0,0.0,0,Mike Dean,0,0,0,0,8294,Southampton,Swansea City,d8e2a91b-60c1-5a80-b322-983051f96664,4be55155-e2a6-5f5e-aaa9-7edeb82e3fa8,Southampton,Swansea City,Southampton_Swansea City,Southampton_Swansea City_2013
2013,37,Swansea City,0.0,0.0,Southampton,0.0,1.0,0,Anthony Taylor,0,0,0,0,8588,Southampton,Swansea City,7efa07a0-aacd-58ff-9340-926d7fc235f6,4be55155-e2a6-5f5e-aaa9-7edeb82e3fa8,Swansea City,Southampton,Southampton_Swansea City,Southampton_Swansea City_2013
2014,5,Swansea City,0.0,0.0,Southampton,0.0,1.0,0,Jonathan Moss,0,0,0,0,8649,Southampton,Swansea City,059ba4be-6e42-5800-8757-bdcbe4496f2d,e9e1d766-e7f8-5703-bf74-c39749b2f5fc,Swansea City,Southampton,Southampton_Swansea City,Southampton_Swansea City_2014
2014,23,Southampton,0.0,0.0,Swansea City,0.0,1.0,0,Michael Oliver,0,0,0,0,8835,Swansea City,Southampton,badb63c0-f2d5-5a46-a5c5-82aa19b973a3,e9e1d766-e7f8-5703-bf74-c39749b2f5fc,Southampton,Swansea City,Southampton_Swansea City,Southampton_Swansea City_2014
2015,7,Southampton,0.0,0.0,Swansea City,3.0,1.0,0,Roger East,0,0,0,0,9050,Southampton,Swansea City,7ef0cee0-a410-5dda-9e6e-4e4488c8a5bb,8fc26958-00f4-521d-8763-bceb8e26023e,Southampton,Swansea City,Southampton_Swansea City,Southampton_Swansea City_2015
2015,26,Swansea City,0.0,0.0,Southampton,0.0,1.0,0,Jonathan Moss,0,0,0,0,9237,Southampton,Swansea City,40b64d4e-5c64-5ccf-8fc6-7c960a5e7a93,8fc26958-00f4-521d-8763-bceb8e26023e,Swansea City,Southampton,Southampton_Swansea City,Southampton_Swansea City_2015
