season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2008,10,Stoke City,0.0,0.0,Sunderland,1.0,0.0,0,Chris Foy,0,0,0,0,6421,Stoke City,Sunderland,4578e095-4ff0-5886-ba7e-43634a588f47,6cd87f19-77c3-5188-910f-56bad3b2d94c,Stoke City,Sunderland,Stoke City_Sunderland,Stoke City_Sunderland_2008
2008,25,Sunderland,0.0,0.0,Stoke City,2.0,0.0,0,Rob Styles,0,0,0,0,6566,Sunderland,Stoke City,3e63c8ea-393e-51c3-9da1-029683e6687c,6cd87f19-77c3-5188-910f-56bad3b2d94c,Sunderland,Stoke City,Stoke City_Sunderland,Stoke City_Sunderland_2008
2009,4,Stoke City,0.0,0.0,Sunderland,1.0,0.0,0,Mike Jones,0,0,0,0,6736,Stoke City,Sunderland,ef5bd62e-7f69-5994-9fb3-4d88d75d90ba,b0b21c59-5872-5dba-9faa-90ca93926ad0,Stoke City,Sunderland,Stoke City_Sunderland,Stoke City_Sunderland_2009
2009,24,Sunderland,0.0,0.0,Stoke City,0.0,0.0,0,Howard Webb,0,0,0,0,6935,draw,draw,17a06f32-2d42-559b-b228-6f1d6cf9cf07,b0b21c59-5872-5dba-9faa-90ca93926ad0,Sunderland,Stoke City,Stoke City_Sunderland,Stoke City_Sunderland_2009
2010,11,Sunderland,0.0,0.0,Stoke City,2.0,0.0,0,Martin Atkinson,0,0,0,0,7186,Sunderland,Stoke City,ca1f626b-cc44-5deb-a778-aac0abb70404,cd45fdc9-bf0e-5f72-9b85-487995072bfb,Sunderland,Stoke City,Stoke City_Sunderland,Stoke City_Sunderland_2010
2010,26,Stoke City,0.0,0.0,Sunderland,3.0,2.0,0,Lee Probert,0,0,0,0,7333,Stoke City,Sunderland,ef77f1af-2679-5920-a376-2ad776df6d9c,cd45fdc9-bf0e-5f72-9b85-487995072bfb,Stoke City,Sunderland,Stoke City_Sunderland,Stoke City_Sunderland_2010
2011,5,Sunderland,0.0,0.0,Stoke City,4.0,0.0,0,Kevin Friend,0,0,0,0,7514,Sunderland,Stoke City,aa9c33f0-6104-5444-8234-a39b0eb2c3b2,7eb3fc77-063e-59cd-8c44-623cdb231169,Sunderland,Stoke City,Stoke City_Sunderland,Stoke City_Sunderland_2011
2011,24,Stoke City,0.0,0.0,Sunderland,0.0,1.0,0,Martin Atkinson,0,0,0,0,7696,Sunderland,Stoke City,96caed0e-a7b6-5ba7-8cf6-082b553e9055,7eb3fc77-063e-59cd-8c44-623cdb231169,Stoke City,Sunderland,Stoke City_Sunderland,Stoke City_Sunderland_2011
2012,9,Stoke City,0.0,0.0,Sunderland,0.0,0.0,0,Mark Halsey,0,0,0,0,7926,draw,draw,2bc44d3e-3192-55e4-9153-2ae4f4f1d528,b8fc7cb6-8778-55c6-a008-96a5a8d03167,Stoke City,Sunderland,Stoke City_Sunderland,Stoke City_Sunderland_2012
2012,36,Sunderland,0.0,0.0,Stoke City,1.0,1.0,0,Lee Mason,0,0,0,0,8202,draw,draw,09c1a6b8-f7eb-5a19-aeb0-719a79f6b47a,b8fc7cb6-8778-55c6-a008-96a5a8d03167,Sunderland,Stoke City,Stoke City_Sunderland,Stoke City_Sunderland_2012
2013,12,Stoke City,0.0,0.0,Sunderland,2.0,0.0,0,Kevin Friend,0,0,0,0,8339,Stoke City,Sunderland,49f9f388-89c3-5fde-9590-a8a3de624b9e,6a3342a7-232b-56d7-b80d-73e59c5eb68d,Stoke City,Sunderland,Stoke City_Sunderland,Stoke City_Sunderland_2013
2013,23,Sunderland,0.0,0.0,Stoke City,1.0,0.0,0,Bobby Madley,0,0,0,0,8455,Sunderland,Stoke City,b27f1e0e-b177-5c58-9714-6a07b6e05e83,6a3342a7-232b-56d7-b80d-73e59c5eb68d,Sunderland,Stoke City,Stoke City_Sunderland,Stoke City_Sunderland_2013
2014,7,Sunderland,0.0,0.0,Stoke City,3.0,1.0,0,Niel Swarbrick,0,0,0,0,8669,Sunderland,Stoke City,3885ce95-a788-5c36-9bb2-11d0ee9169b3,4244623f-3f86-5e68-b800-693f011a6bd7,Sunderland,Stoke City,Stoke City_Sunderland,Stoke City_Sunderland_2014
2014,34,Stoke City,0.0,0.0,Sunderland,1.0,1.0,0,Martin Atkinson,0,0,0,0,8935,draw,draw,1e2fe763-32a2-5306-a2f1-e4badd334844,4244623f-3f86-5e68-b800-693f011a6bd7,Stoke City,Sunderland,Stoke City_Sunderland,Stoke City_Sunderland_2014
2015,14,Sunderland,0.0,0.0,Stoke City,2.0,0.0,0,Mike Dean,0,0,0,0,9116,Sunderland,Stoke City,fc054a7d-9afd-502e-924d-1b1f6887497d,d81c7b96-1c24-51df-8ad4-a1ebddf9ff63,Sunderland,Stoke City,Stoke City_Sunderland,Stoke City_Sunderland_2015
2015,36,Stoke City,0.0,0.0,Sunderland,1.0,1.0,0,Craig Pawson,0,0,0,0,9335,draw,draw,269e93e1-16a9-56e1-a9a4-5e827f011f96,d81c7b96-1c24-51df-8ad4-a1ebddf9ff63,Stoke City,Sunderland,Stoke City_Sunderland,Stoke City_Sunderland_2015
