season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2017,16,Tottenham,3.6,0.5,Stoke City,5.0,1.0,2017-12-09,Roger East,Wembley Stadium,Sat,15:00,"62,202",168,Tottenham,Stoke City,7242f994-e735-549e-943d-e3c91b001051,98a15f8b-9be1-5edc-9568-70d9baf5b5d9,Tottenham,Stoke City,Stoke City_Tottenham,Stoke City_Tottenham_2017
2017,33,Stoke City,1.4,1.7,Tottenham,1.0,2.0,2018-04-07,Graham Scott,Bill Stokeld Stadium,Sat,15:00,"29,515",348,Tottenham,Stoke City,812551d9-a545-5726-b8cc-e49c04c3cb4c,98a15f8b-9be1-5edc-9568-70d9baf5b5d9,Stoke City,Tottenham,Stoke City_Tottenham,Stoke City_Tottenham_2017
2008,8,Stoke City,0.0,0.0,Tottenham,2.0,1.0,0,Lee Mason,0,0,0,0,6403,Stoke City,Tottenham,d38e6ebd-da02-559e-86b8-cea0eb643e4e,0cf8cf35-95c1-5311-accb-fae88f33a07d,Stoke City,Tottenham,Stoke City_Tottenham,Stoke City_Tottenham_2008
2008,23,Tottenham,0.0,0.0,Stoke City,3.0,1.0,0,Mike Riley,0,0,0,0,6544,Tottenham,Stoke City,3c4b3711-0c43-5fc3-8c01-3e9c374f8887,0cf8cf35-95c1-5311-accb-fae88f33a07d,Tottenham,Stoke City,Stoke City_Tottenham,Stoke City_Tottenham_2008
2009,10,Tottenham,0.0,0.0,Stoke City,0.0,1.0,0,Lee Probert,0,0,0,0,6794,Stoke City,Tottenham,29bfebc6-ea71-5d31-af36-fe7e40b90a41,ee8d08cf-dd18-57fb-8d4a-38878ea5ae32,Tottenham,Stoke City,Stoke City_Tottenham,Stoke City_Tottenham_2009
2009,31,Stoke City,0.0,0.0,Tottenham,1.0,2.0,0,Mike Dean,0,0,0,0,7002,Tottenham,Stoke City,7ac1f4ef-8fa7-560c-a2f4-fbfbf6e0dee1,ee8d08cf-dd18-57fb-8d4a-38878ea5ae32,Stoke City,Tottenham,Stoke City_Tottenham,Stoke City_Tottenham_2009
2010,2,Stoke City,0.0,0.0,Tottenham,1.0,2.0,0,Chris Foy,0,0,0,0,7101,Tottenham,Stoke City,1074d924-d8c8-5eec-896c-bf44d555cc0c,c64cf826-1197-54af-9585-fc97006d441f,Stoke City,Tottenham,Stoke City_Tottenham,Stoke City_Tottenham_2010
2010,32,Tottenham,0.0,0.0,Stoke City,3.0,2.0,0,Kevin Friend,0,0,0,0,7398,Tottenham,Stoke City,8953d856-c6c4-5805-9997-3b208e3965dd,c64cf826-1197-54af-9585-fc97006d441f,Tottenham,Stoke City,Stoke City_Tottenham,Stoke City_Tottenham_2010
2011,15,Stoke City,0.0,0.0,Tottenham,2.0,1.0,0,Chris Foy,0,0,0,0,7613,Stoke City,Tottenham,46f72a41-56cf-5073-a2ea-00fb86611060,20dbdef7-7012-56ae-8910-25ca28c04dd4,Stoke City,Tottenham,Stoke City_Tottenham,Stoke City_Tottenham_2011
2011,29,Tottenham,0.0,0.0,Stoke City,1.0,1.0,0,Mike Jones,0,0,0,0,7753,draw,draw,3dde5511-877f-5ffc-9a9f-9a09774d7989,20dbdef7-7012-56ae-8910-25ca28c04dd4,Tottenham,Stoke City,Stoke City_Tottenham,Stoke City_Tottenham_2011
2012,18,Tottenham,0.0,0.0,Stoke City,0.0,0.0,0,Lee Mason,0,0,0,0,8022,draw,draw,4b072850-4e8f-5f13-83f5-a0027f51a5d0,bed8ea36-b2fe-5011-bbd5-37938c601bcb,Tottenham,Stoke City,Stoke City_Tottenham,Stoke City_Tottenham_2012
2012,37,Stoke City,0.0,0.0,Tottenham,1.0,2.0,0,Kevin Friend,0,0,0,0,8210,Tottenham,Stoke City,dfb5a2e8-6430-5a5e-9162-108d482c5c19,bed8ea36-b2fe-5011-bbd5-37938c601bcb,Stoke City,Tottenham,Stoke City_Tottenham,Stoke City_Tottenham_2012
