season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2005,14,Wigan Athletic,0.0,0.0,Tottenham,1.0,2.0,0,Mike Riley,0,0,0,0,5316,Tottenham,Wigan Athletic,ba269966-a7cf-533c-a7d7-07cf4bd496ae,1b180579-74c5-555e-91fd-04077457b44b,Wigan Athletic,Tottenham,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2005
2005,27,Tottenham,0.0,0.0,Wigan Athletic,2.0,2.0,0,Uriah Rennie,0,0,0,0,5443,draw,draw,9b5b8261-a016-573e-b988-a1991d3a8185,1b180579-74c5-555e-91fd-04077457b44b,Tottenham,Wigan Athletic,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2005
2006,14,Tottenham,0.0,0.0,Wigan Athletic,3.0,1.0,0,Mark Clattenburg,0,0,0,0,5702,Tottenham,Wigan Athletic,95c904c9-6639-52d3-90a4-4bd4f210733e,299ae8dc-d24e-5373-9e39-762e664cfb6a,Tottenham,Wigan Athletic,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2006
2006,34,Wigan Athletic,0.0,0.0,Tottenham,3.0,3.0,0,Graham Poll,0,0,0,0,5897,draw,draw,9d466501-56d0-5478-a0d5-2207478ce1ae,299ae8dc-d24e-5373-9e39-762e664cfb6a,Wigan Athletic,Tottenham,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2006
2007,13,Tottenham,0.0,0.0,Wigan Athletic,4.0,0.0,0,Howard Webb,0,0,0,0,6066,Tottenham,Wigan Athletic,073a7560-7c5d-54f5-a170-80f364cb47cb,c4867fb1-ad65-5595-95c1-1df626a8fdd1,Tottenham,Wigan Athletic,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2007
2007,35,Wigan Athletic,0.0,0.0,Tottenham,1.0,1.0,0,Lee Probert,0,0,0,0,6288,draw,draw,ad1c9006-1aa2-5fbb-aea6-612c2d36345b,c4867fb1-ad65-5595-95c1-1df626a8fdd1,Wigan Athletic,Tottenham,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2007
2008,5,Tottenham,0.0,0.0,Wigan Athletic,0.0,0.0,0,Steve Tanner,0,0,0,0,6370,draw,draw,7e8b6521-08b3-5b8a-bca7-64e8375342ef,c35f6202-f8ef-55f1-bca1-dee189d91322,Tottenham,Wigan Athletic,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2008
2008,21,Wigan Athletic,0.0,0.0,Tottenham,1.0,0.0,0,Andre Marriner,0,0,0,0,6531,Wigan Athletic,Tottenham,84171ec5-1837-56fc-97d1-a0004e1dc942,c35f6202-f8ef-55f1-bca1-dee189d91322,Wigan Athletic,Tottenham,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2008
2009,13,Tottenham,0.0,0.0,Wigan Athletic,9.0,1.0,0,Peter Walton,0,0,0,0,6831,Tottenham,Wigan Athletic,d578fa8d-cc56-5f98-92a0-c7fa822022b6,a93ef7bf-4570-5a4f-8a9a-32b7e4bcd31f,Tottenham,Wigan Athletic,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2009
2009,27,Wigan Athletic,0.0,0.0,Tottenham,0.0,3.0,0,Alan Wiley,0,0,0,0,6967,Tottenham,Wigan Athletic,f752898b-68a2-5bbb-a057-736848881088,a93ef7bf-4570-5a4f-8a9a-32b7e4bcd31f,Wigan Athletic,Tottenham,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2009
2010,3,Tottenham,0.0,0.0,Wigan Athletic,0.0,1.0,0,Phil Dowd,0,0,0,0,7109,Wigan Athletic,Tottenham,e5357486-cea0-5ea6-9342-6a2d0717daee,786e18ec-1e79-56e8-9e23-ee791960fd10,Tottenham,Wigan Athletic,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2010
2010,31,Wigan Athletic,0.0,0.0,Tottenham,0.0,0.0,0,Andre Marriner,0,0,0,0,7390,draw,draw,beb356b7-a2e2-5d85-848c-ad3a570866ee,786e18ec-1e79-56e8-9e23-ee791960fd10,Wigan Athletic,Tottenham,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2010
2011,6,Wigan Athletic,0.0,0.0,Tottenham,1.0,2.0,0,Jon Moss,0,0,0,0,7519,Tottenham,Wigan Athletic,b7fb07a8-16a8-53af-988d-48f120454ced,66b43950-16c8-542e-9462-59ce686d369c,Wigan Athletic,Tottenham,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2011
2011,23,Tottenham,0.0,0.0,Wigan Athletic,3.0,1.0,0,Lee Probert,0,0,0,0,7689,Tottenham,Wigan Athletic,d3c11b6e-a4a3-5b45-a3e5-fe65571afdae,66b43950-16c8-542e-9462-59ce686d369c,Tottenham,Wigan Athletic,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2011
2012,10,Tottenham,0.0,0.0,Wigan Athletic,0.0,1.0,0,Martin Atkinson,0,0,0,0,7937,Wigan Athletic,Tottenham,f48c8c16-acd2-5e1b-bb76-071864a1609c,e26da525-f996-5733-9a8f-34fc31932190,Tottenham,Wigan Athletic,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2012
2012,35,Wigan Athletic,0.0,0.0,Tottenham,2.0,2.0,0,Martin Atkinson,0,0,0,0,8183,draw,draw,9063b706-5b9c-5e4b-a564-2bb534242492,e26da525-f996-5733-9a8f-34fc31932190,Wigan Athletic,Tottenham,Tottenham_Wigan Athletic,Tottenham_Wigan Athletic_2012
