season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2019,1,Tottenham,2.4,0.7,Aston Villa,3.0,1.0,2019-08-10,0,Tottenham,Aston Villa,4b1be30d-0bde-5bdd-8f32-7e1ed5235805,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,bf59e743-55ff-58bb-9cf9-be0e1df139c4,Tottenham,Aston Villa,Aston Villa_Tottenham,Aston Villa_Tottenham_2019
2019,26,Aston Villa,1.8,3.4,Tottenham,2.0,3.0,2020-02-16,0,Tottenham,Aston Villa,6d61faec-6db0-5beb-93b8-307c76cebf36,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,bf59e743-55ff-58bb-9cf9-be0e1df139c4,Aston Villa,Tottenham,Aston Villa_Tottenham,Aston Villa_Tottenham_2019
2020,18,Aston Villa,0.4,1.8,Tottenham,0.0,2.0,2021-03-21,0,Tottenham,Aston Villa,7631af3d-57cc-59ef-afe3-1426b68b3f48,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,d4caf80a-1b49-54bd-861f-6e908c98361e,Aston Villa,Tottenham,Aston Villa_Tottenham,Aston Villa_Tottenham_2020
2020,37,Tottenham,0.8,1.4,Aston Villa,1.0,2.0,2021-05-19,0,Aston Villa,Tottenham,cc4a4087-c5c2-5971-ab53-0ac9888c9743,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,d4caf80a-1b49-54bd-861f-6e908c98361e,Tottenham,Aston Villa,Aston Villa_Tottenham,Aston Villa_Tottenham_2020
2021,7,Tottenham,1.3,1.2,Aston Villa,2.0,1.0,2021-10-03,0,Tottenham,Aston Villa,9b003e06-4841-5867-8c56-6b7fac93745c,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,f632e200-c04a-564c-87e6-50ead5ecadf1,Tottenham,Aston Villa,Aston Villa_Tottenham,Aston Villa_Tottenham_2021
2021,32,Aston Villa,1.6,1.1,Tottenham,0.0,4.0,2022-04-09,0,Tottenham,Aston Villa,71a2d42d-8994-58ea-8cb5-0ef6a721c1e9,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,f632e200-c04a-564c-87e6-50ead5ecadf1,Aston Villa,Tottenham,Aston Villa_Tottenham,Aston Villa_Tottenham_2021
2022,18,Tottenham,0.7,1.0,Aston Villa,0.0,2.0,2023-01-01,0,Aston Villa,Tottenham,0aa32c03-db92-576b-98e6-12fab53fbdc4,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,1d27113d-adde-5f1d-911e-04e78daf4c1f,Tottenham,Aston Villa,Aston Villa_Tottenham,Aston Villa_Tottenham_2022
2022,36,Aston Villa,1.2,1.4,Tottenham,2.0,1.0,2023-05-13,0,Aston Villa,Tottenham,e496fc5f-32f8-5a91-be5c-6b8e61a61e35,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,1d27113d-adde-5f1d-911e-04e78daf4c1f,Aston Villa,Tottenham,Aston Villa_Tottenham,Aston Villa_Tottenham_2022
1992,16,Tottenham,0.0,0.0,Aston Villa,0.0,0.0,0,Jim Borrett,draw,draw,c25c78fc-33f3-5f25-9bf1-d52f01387cee,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,84e73d39-f09c-5692-b774-2674aadce8c8,Tottenham,Aston Villa,Aston Villa_Tottenham,Aston Villa_Tottenham_1992
1992,33,Aston Villa,0.0,0.0,Tottenham,0.0,0.0,0,Keith Hackett,draw,draw,47a0ff13-5c84-5f66-bf55-e234922aa7ea,bb98ec52-2d59-54f5-afaa-ecc766ae1c45,84e73d39-f09c-5692-b774-2674aadce8c8,Aston Villa,Tottenham,Aston Villa_Tottenham,Aston Villa_Tottenham_1992
