season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,15,Bournemouth,0.9,1.5,Southampton,1.0,1.0,2017-12-03,0,draw,draw,8bc5c0c3-1146-5102-b3f1-819039061aa7,55515400-8f39-597b-89e2-fe82927d52c0,5da09a62-001c-5057-93db-341fd10786bc,Bournemouth,Southampton,Bournemouth_Southampton,Bournemouth_Southampton_2017
2017,36,Southampton,1.5,0.7,Bournemouth,2.0,1.0,2018-04-28,0,Southampton,Bournemouth,fcc5c1fb-d74f-50bf-808f-9271d9734f9e,55515400-8f39-597b-89e2-fe82927d52c0,5da09a62-001c-5057-93db-341fd10786bc,Southampton,Bournemouth,Bournemouth_Southampton,Bournemouth_Southampton_2017
2018,9,Bournemouth,0.9,0.5,Southampton,0.0,0.0,2018-10-20,0,draw,draw,de2d98cc-65db-5919-8eec-6a30242a0d08,55515400-8f39-597b-89e2-fe82927d52c0,36a33ae8-0a73-552f-a317-ad5212e912cc,Bournemouth,Southampton,Bournemouth_Southampton,Bournemouth_Southampton_2018
2018,36,Southampton,2.5,2.3,Bournemouth,3.0,3.0,2019-04-27,0,draw,draw,487a7123-70af-52ae-8832-511c8d4a7b70,55515400-8f39-597b-89e2-fe82927d52c0,36a33ae8-0a73-552f-a317-ad5212e912cc,Southampton,Bournemouth,Bournemouth_Southampton,Bournemouth_Southampton_2018
2019,6,Southampton,2.5,1.2,Bournemouth,1.0,3.0,2019-09-20,0,Bournemouth,Southampton,7165393b-0bc0-5127-8ca3-8691f9c34f6a,55515400-8f39-597b-89e2-fe82927d52c0,fdd2753f-5e5f-5a85-a415-89286da3fd00,Southampton,Bournemouth,Bournemouth_Southampton,Bournemouth_Southampton_2019
2019,37,Bournemouth,0.5,2.5,Southampton,0.0,2.0,2020-07-19,0,Southampton,Bournemouth,252b028e-917d-5610-9e78-80e5005f5b24,55515400-8f39-597b-89e2-fe82927d52c0,fdd2753f-5e5f-5a85-a415-89286da3fd00,Bournemouth,Southampton,Bournemouth_Southampton,Bournemouth_Southampton_2019
2022,12,Bournemouth,1.0,1.0,Southampton,0.0,1.0,2022-10-19,0,Southampton,Bournemouth,89877e25-90bc-517b-957f-698884b4794e,55515400-8f39-597b-89e2-fe82927d52c0,144af38f-94ed-531c-bf04-a170f8a9d8c1,Bournemouth,Southampton,Bournemouth_Southampton,Bournemouth_Southampton_2022
2022,33,Southampton,0.5,0.9,Bournemouth,0.0,1.0,2023-04-27,0,Bournemouth,Southampton,4541314f-643d-596f-b6f2-3c2d4ae26898,55515400-8f39-597b-89e2-fe82927d52c0,144af38f-94ed-531c-bf04-a170f8a9d8c1,Southampton,Bournemouth,Bournemouth_Southampton,Bournemouth_Southampton_2022
2015,11,Southampton,0.0,0.0,Bournemouth,2.0,0.0,0,Craig Pawson,Southampton,Bournemouth,96e23258-6dfd-551c-9aa0-b984171af8a7,55515400-8f39-597b-89e2-fe82927d52c0,21649eaf-5d46-5200-8b24-5496ca95b23f,Southampton,Bournemouth,Bournemouth_Southampton,Bournemouth_Southampton_2015
2015,28,Bournemouth,0.0,0.0,Southampton,2.0,0.0,0,Mike Dean,Bournemouth,Southampton,3153deb5-95ea-5126-b11d-9cbfb2aec816,55515400-8f39-597b-89e2-fe82927d52c0,21649eaf-5d46-5200-8b24-5496ca95b23f,Bournemouth,Southampton,Bournemouth_Southampton,Bournemouth_Southampton_2015
