season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,15,Brighton,1.7,1.8,Liverpool,1.0,5.0,2017-12-02,0,Liverpool,Brighton,a0700703-4e3b-56e2-9eed-0e5b9a390ee9,33c49a47-de32-5121-88b0-c2962d6b3089,ceb83603-f8b2-50aa-90ed-dc3b7bb488e8,Brighton,Liverpool,Brighton_Liverpool,Brighton_Liverpool_2017
2017,38,Liverpool,2.8,0.1,Brighton,4.0,0.0,2018-05-13,0,Liverpool,Brighton,b31c90fa-1307-589d-911a-2e56a3b7f84e,33c49a47-de32-5121-88b0-c2962d6b3089,ceb83603-f8b2-50aa-90ed-dc3b7bb488e8,Liverpool,Brighton,Brighton_Liverpool,Brighton_Liverpool_2017
2018,3,Liverpool,1.6,0.6,Brighton,1.0,0.0,2018-08-25,0,Liverpool,Brighton,9ca21761-27a1-5f53-879c-41f123f16d2f,33c49a47-de32-5121-88b0-c2962d6b3089,fea9af0e-ec02-513f-b0c8-12a4a9400ddc,Liverpool,Brighton,Brighton_Liverpool,Brighton_Liverpool_2018
2018,22,Brighton,0.4,2.0,Liverpool,0.0,1.0,2019-01-12,0,Liverpool,Brighton,3808a23e-5571-58f5-a1ae-96d150adea8c,33c49a47-de32-5121-88b0-c2962d6b3089,fea9af0e-ec02-513f-b0c8-12a4a9400ddc,Brighton,Liverpool,Brighton_Liverpool,Brighton_Liverpool_2018
2019,14,Liverpool,1.3,0.8,Brighton,2.0,1.0,2019-11-30,0,Liverpool,Brighton,0b6f49b7-3d72-578e-bea7-2788c11c0207,33c49a47-de32-5121-88b0-c2962d6b3089,cf1dd596-0605-5ea4-8f81-a1872b98cf12,Liverpool,Brighton,Brighton_Liverpool,Brighton_Liverpool_2019
2019,34,Brighton,2.4,2.5,Liverpool,1.0,3.0,2020-07-08,0,Liverpool,Brighton,64b92813-fb23-560a-8794-be6632fe58a9,33c49a47-de32-5121-88b0-c2962d6b3089,cf1dd596-0605-5ea4-8f81-a1872b98cf12,Brighton,Liverpool,Brighton_Liverpool,Brighton_Liverpool_2019
2020,10,Brighton,2.3,0.2,Liverpool,1.0,1.0,2020-11-28,0,draw,draw,f33f02af-8259-58f6-b6f4-af63967c91ec,33c49a47-de32-5121-88b0-c2962d6b3089,e232e850-8856-503d-8708-72cf02425129,Brighton,Liverpool,Brighton_Liverpool,Brighton_Liverpool_2020
2020,22,Liverpool,1.0,1.3,Brighton,0.0,1.0,2021-02-03,0,Brighton,Liverpool,90d0425c-0663-56cf-96a8-fca06886941d,33c49a47-de32-5121-88b0-c2962d6b3089,e232e850-8856-503d-8708-72cf02425129,Liverpool,Brighton,Brighton_Liverpool,Brighton_Liverpool_2020
2021,10,Liverpool,1.5,1.0,Brighton,2.0,2.0,2021-10-30,0,draw,draw,2635366f-a17a-5021-8fb3-bd95ee08907c,33c49a47-de32-5121-88b0-c2962d6b3089,2a93491c-af75-5821-bd44-e773c630b151,Liverpool,Brighton,Brighton_Liverpool,Brighton_Liverpool_2021
2021,29,Brighton,0.5,2.2,Liverpool,0.0,2.0,2022-03-12,0,Liverpool,Brighton,4982d8e8-94fd-5df7-9cc9-008a5280b704,33c49a47-de32-5121-88b0-c2962d6b3089,2a93491c-af75-5821-bd44-e773c630b151,Brighton,Liverpool,Brighton_Liverpool,Brighton_Liverpool_2021
2022,9,Liverpool,1.5,1.4,Brighton,3.0,3.0,2022-10-01,0,draw,draw,3cff4b5f-5def-5070-a8cf-6faa6b5aabef,33c49a47-de32-5121-88b0-c2962d6b3089,6c810441-fd76-57bc-909c-ded85c212742,Liverpool,Brighton,Brighton_Liverpool,Brighton_Liverpool_2022
2022,20,Brighton,1.9,1.0,Liverpool,3.0,0.0,2023-01-14,0,Brighton,Liverpool,10f0b453-01b3-5326-af3b-d0fa5b0598b9,33c49a47-de32-5121-88b0-c2962d6b3089,6c810441-fd76-57bc-909c-ded85c212742,Brighton,Liverpool,Brighton_Liverpool,Brighton_Liverpool_2022
