season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,9,West Ham,0.7,1.4,Brighton,0.0,3.0,2017-10-20,0,Brighton,West Ham,d4199fe8-8205-5cee-baaa-d5c4f42d8e05,69689ad7-814a-5677-9390-6b46d342d72b,5ee16f53-7da2-5a40-a919-97e9dc808c3c,West Ham,Brighton,Brighton_West Ham,Brighton_West Ham_2017
2017,26,Brighton,1.7,0.4,West Ham,3.0,1.0,2018-02-03,0,Brighton,West Ham,df17350d-fd1a-540b-a470-3bded8e3438b,69689ad7-814a-5677-9390-6b46d342d72b,5ee16f53-7da2-5a40-a919-97e9dc808c3c,Brighton,West Ham,Brighton_West Ham,Brighton_West Ham_2017
2018,8,Brighton,1.2,1.4,West Ham,1.0,0.0,2018-10-05,0,Brighton,West Ham,00dc29bf-a640-5086-9b3c-37e3536e4cbd,69689ad7-814a-5677-9390-6b46d342d72b,e105b832-c1a8-55b2-86b0-49f656c0fcdd,Brighton,West Ham,Brighton_West Ham,Brighton_West Ham_2018
2018,21,West Ham,0.8,0.7,Brighton,2.0,2.0,2019-01-02,0,draw,draw,3203349f-737b-516c-99ec-93a6c258d777,69689ad7-814a-5677-9390-6b46d342d72b,e105b832-c1a8-55b2-86b0-49f656c0fcdd,West Ham,Brighton,Brighton_West Ham,Brighton_West Ham_2018
2019,2,Brighton,2.0,0.8,West Ham,1.0,1.0,2019-08-17,0,draw,draw,0ed2e3d2-04c2-5a1d-bd53-754fed81aeef,69689ad7-814a-5677-9390-6b46d342d72b,3509a127-16d7-53ca-a081-ad3906e6409e,Brighton,West Ham,Brighton_West Ham,Brighton_West Ham_2019
2019,25,West Ham,0.8,1.9,Brighton,3.0,3.0,2020-02-01,0,draw,draw,a817892c-d63f-56f5-a974-d9832126b507,69689ad7-814a-5677-9390-6b46d342d72b,3509a127-16d7-53ca-a081-ad3906e6409e,West Ham,Brighton,Brighton_West Ham,Brighton_West Ham_2019
2020,15,West Ham,1.3,1.1,Brighton,2.0,2.0,2020-12-27,0,draw,draw,c422dcd3-a54d-517a-a7af-251cffab39f1,69689ad7-814a-5677-9390-6b46d342d72b,f62a7e00-4de7-5ce0-a9df-88c9e9ea6819,West Ham,Brighton,Brighton_West Ham,Brighton_West Ham_2020
2020,36,Brighton,0.8,1.7,West Ham,1.0,1.0,2021-05-15,0,draw,draw,e5fc2c1f-6b7a-5beb-a229-28ae84093479,69689ad7-814a-5677-9390-6b46d342d72b,f62a7e00-4de7-5ce0-a9df-88c9e9ea6819,Brighton,West Ham,Brighton_West Ham,Brighton_West Ham_2020
2021,14,West Ham,1.3,1.3,Brighton,1.0,1.0,2021-12-01,0,draw,draw,bcb39218-3adb-565b-b639-62521cc6bcdf,69689ad7-814a-5677-9390-6b46d342d72b,80206662-68b0-56db-951a-2c7d6372bbad,West Ham,Brighton,Brighton_West Ham,Brighton_West Ham_2021
2021,38,Brighton,1.6,0.2,West Ham,3.0,1.0,2022-05-22,0,Brighton,West Ham,42004479-0938-5aa5-86a2-ec750182808e,69689ad7-814a-5677-9390-6b46d342d72b,80206662-68b0-56db-951a-2c7d6372bbad,Brighton,West Ham,Brighton_West Ham,Brighton_West Ham_2021
2022,3,West Ham,0.8,1.7,Brighton,0.0,2.0,2022-08-21,0,Brighton,West Ham,ba240842-a141-5caf-b037-b0b41340916c,69689ad7-814a-5677-9390-6b46d342d72b,5cc01fa3-ef3a-532e-8184-a19318b128df,West Ham,Brighton,Brighton_West Ham,Brighton_West Ham_2022
2022,26,Brighton,3.5,0.3,West Ham,4.0,0.0,2023-03-04,0,Brighton,West Ham,0596f756-00bd-53ec-bd0f-a62e1267bf55,69689ad7-814a-5677-9390-6b46d342d72b,5cc01fa3-ef3a-532e-8184-a19318b128df,Brighton,West Ham,Brighton_West Ham,Brighton_West Ham_2022
