season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,3,Tottenham,2.3,0.9,Burnley,1.0,1.0,2017-08-27,0,draw,draw,cb3a302e-b69a-55b3-b306-e26bc72b522f,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,7252bf93-3fd7-5d3e-93e6-5965f53537b8,Tottenham,Burnley,Burnley_Tottenham,Burnley_Tottenham_2017
2017,19,Burnley,0.2,3.1,Tottenham,0.0,3.0,2017-12-23,0,Tottenham,Burnley,bd4a5ba9-c445-5ff9-91d9-2681cf4e2af0,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,7252bf93-3fd7-5d3e-93e6-5965f53537b8,Burnley,Tottenham,Burnley_Tottenham,Burnley_Tottenham_2017
2018,17,Tottenham,1.7,0.5,Burnley,1.0,0.0,2018-12-15,0,Tottenham,Burnley,4af7bf1d-770a-5b21-bcad-57e2e1a8ef2c,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,a7b3790e-4740-5317-89d8-34ca77b27ac8,Tottenham,Burnley,Burnley_Tottenham,Burnley_Tottenham_2018
2018,27,Burnley,1.2,0.9,Tottenham,2.0,1.0,2019-02-23,0,Burnley,Tottenham,c950fda9-86be-5ea6-a4f1-f35b22335890,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,a7b3790e-4740-5317-89d8-34ca77b27ac8,Burnley,Tottenham,Burnley_Tottenham,Burnley_Tottenham_2018
2019,16,Tottenham,2.6,0.9,Burnley,5.0,0.0,2019-12-07,0,Tottenham,Burnley,0e1d0c80-c3fd-526f-9b32-c58b24ed4127,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,e5878b19-d927-50ff-b0fc-9312e836d5ae,Tottenham,Burnley,Burnley_Tottenham,Burnley_Tottenham_2019
2019,29,Burnley,3.0,1.2,Tottenham,1.0,1.0,2020-03-07,0,draw,draw,e890df39-e7ad-5962-a884-5e0659de6db6,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,e5878b19-d927-50ff-b0fc-9312e836d5ae,Burnley,Tottenham,Burnley_Tottenham,Burnley_Tottenham_2019
2020,6,Burnley,1.0,0.6,Tottenham,0.0,1.0,2020-10-26,0,Tottenham,Burnley,7b11c24d-20c0-5904-9b32-2a1fa877a089,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,a162575d-89cb-5064-95f8-4e41381d0ffc,Burnley,Tottenham,Burnley_Tottenham,Burnley_Tottenham_2020
2020,26,Tottenham,2.1,0.7,Burnley,4.0,0.0,2021-02-28,0,Tottenham,Burnley,db02e041-95cd-5955-a095-e6703c1eef1c,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,a162575d-89cb-5064-95f8-4e41381d0ffc,Tottenham,Burnley,Burnley_Tottenham,Burnley_Tottenham_2020
2021,13,Burnley,0.9,0.7,Tottenham,1.0,0.0,2022-02-23,0,Burnley,Tottenham,b8ed2aad-d58e-567b-b7a9-aa2dc203cc1d,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,1017080f-5313-5a05-9992-7830d43e9e24,Burnley,Tottenham,Burnley_Tottenham,Burnley_Tottenham_2021
2021,37,Tottenham,2.2,0.7,Burnley,1.0,0.0,2022-05-15,0,Tottenham,Burnley,e15db4a1-7a9a-5804-9246-06a3e7295850,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,1017080f-5313-5a05-9992-7830d43e9e24,Tottenham,Burnley,Burnley_Tottenham,Burnley_Tottenham_2021
2009,7,Tottenham,0.0,0.0,Burnley,5.0,0.0,0,Mike Dean,Tottenham,Burnley,df2134d1-dc32-5ef6-8740-ad11ce1b777f,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,a088b5a2-930b-5f18-9d4d-fe33008546f7,Tottenham,Burnley,Burnley_Tottenham,Burnley_Tottenham_2009
2009,38,Burnley,0.0,0.0,Tottenham,4.0,2.0,0,Mike Dean,Burnley,Tottenham,87df7a3f-6cc4-5c33-b9da-b7f5cdcd40e3,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,a088b5a2-930b-5f18-9d4d-fe33008546f7,Burnley,Tottenham,Burnley_Tottenham,Burnley_Tottenham_2009
2014,17,Tottenham,0.0,0.0,Burnley,2.0,1.0,0,Jonathan Moss,Tottenham,Burnley,ce2603a3-c43f-5474-b23c-867cf745a36f,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,4517455f-d722-5015-a28a-cbc38b2d146a,Tottenham,Burnley,Burnley_Tottenham,Burnley_Tottenham_2014
2014,31,Burnley,0.0,0.0,Tottenham,0.0,0.0,0,Martin Atkinson,draw,draw,f0c4e05c-52d5-5b62-b64a-efaae35b62f6,c909fc0b-8a10-5abb-a17d-3bd12dc0e1b1,4517455f-d722-5015-a28a-cbc38b2d146a,Burnley,Tottenham,Burnley_Tottenham,Burnley_Tottenham_2014
