season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,6,Stoke City,0.8,1.4,Chelsea,0.0,4.0,2017-09-23,0,Chelsea,Stoke City,f80cf73f-44ab-547a-8210-04298414864f,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,fdc7c357-ae93-51d5-8457-097382472e8f,Stoke City,Chelsea,Chelsea_Stoke City,Chelsea_Stoke City_2017
2017,21,Chelsea,2.6,0.2,Stoke City,5.0,0.0,2017-12-30,0,Chelsea,Stoke City,20a75cff-5de8-5ff7-be40-0c0802a9992d,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,fdc7c357-ae93-51d5-8457-097382472e8f,Chelsea,Stoke City,Chelsea_Stoke City,Chelsea_Stoke City_2017
2008,6,Stoke City,0.0,0.0,Chelsea,0.0,2.0,0,Martin Atkinson,Chelsea,Stoke City,0f796164-a840-56f9-a906-765fc0b0efe8,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,70b57d6c-65de-577f-8cec-7d597e15f94f,Stoke City,Chelsea,Chelsea_Stoke City,Chelsea_Stoke City_2008
2008,22,Chelsea,0.0,0.0,Stoke City,2.0,1.0,0,Peter Walton,Chelsea,Stoke City,98e2e0c0-9147-5041-8226-56ee7a40a64a,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,70b57d6c-65de-577f-8cec-7d597e15f94f,Chelsea,Stoke City,Chelsea_Stoke City,Chelsea_Stoke City_2008
2009,5,Stoke City,0.0,0.0,Chelsea,1.0,2.0,0,Mike Dean,Chelsea,Stoke City,ed264008-a136-5dde-9b36-4851376e01bc,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,e15e3495-19c8-5bda-9fd4-8d768f9f5710,Stoke City,Chelsea,Chelsea_Stoke City,Chelsea_Stoke City_2009
2009,36,Chelsea,0.0,0.0,Stoke City,7.0,0.0,0,Stephen Bennett,Chelsea,Stoke City,1d97cdac-8449-595a-9e03-f7ed0af23618,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,e15e3495-19c8-5bda-9fd4-8d768f9f5710,Chelsea,Stoke City,Chelsea_Stoke City,Chelsea_Stoke City_2009
2010,3,Chelsea,0.0,0.0,Stoke City,2.0,0.0,0,Martin Atkinson,Chelsea,Stoke City,1b01cd66-aa09-5aa0-bb8f-5d2c5b916800,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,1024694d-cd3e-528a-bfdf-276d6fbd150c,Chelsea,Stoke City,Chelsea_Stoke City,Chelsea_Stoke City_2010
2010,31,Stoke City,0.0,0.0,Chelsea,1.0,1.0,0,Peter Walton,draw,draw,8ebe6f0a-f3a9-5f95-95ed-96db1ed96a5e,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,1024694d-cd3e-528a-bfdf-276d6fbd150c,Stoke City,Chelsea,Chelsea_Stoke City,Chelsea_Stoke City_2010
2011,1,Stoke City,0.0,0.0,Chelsea,0.0,0.0,0,Mark Halsey,draw,draw,05e9b155-3c70-5fd8-82aa-d3902e287340,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,f8f88a9a-83f2-5412-b011-594804b33014,Stoke City,Chelsea,Chelsea_Stoke City,Chelsea_Stoke City_2011
2011,28,Chelsea,0.0,0.0,Stoke City,1.0,0.0,0,Andre Marriner,Chelsea,Stoke City,19747f8f-ef51-50ae-a40b-b603179ecb18,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,f8f88a9a-83f2-5412-b011-594804b33014,Chelsea,Stoke City,Chelsea_Stoke City,Chelsea_Stoke City_2011
2012,5,Chelsea,0.0,0.0,Stoke City,1.0,0.0,0,Michael Oliver,Chelsea,Stoke City,ca5534ad-136b-52f0-a2d0-698dc2f54c39,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,19ae39d4-55cc-5183-93ec-1e35e595c8f9,Chelsea,Stoke City,Chelsea_Stoke City,Chelsea_Stoke City_2012
2012,22,Stoke City,0.0,0.0,Chelsea,0.0,4.0,0,Andre Marriner,Chelsea,Stoke City,b9f4fc3f-bf88-5f39-9b59-4e6a2d317c62,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,19ae39d4-55cc-5183-93ec-1e35e595c8f9,Stoke City,Chelsea,Chelsea_Stoke City,Chelsea_Stoke City_2012
2013,15,Stoke City,0.0,0.0,Chelsea,3.0,2.0,0,Jon Moss,Stoke City,Chelsea,d35c1f0a-e54d-5d3a-b8bf-c4099a26abee,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,76db87e6-35a2-55a8-8222-fcc23a1c0c1b,Stoke City,Chelsea,Chelsea_Stoke City,Chelsea_Stoke City_2013
2013,33,Chelsea,0.0,0.0,Stoke City,3.0,0.0,0,Lee Probert,Chelsea,Stoke City,ce072b05-30f6-572a-b07f-2b2ee6e60390,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,76db87e6-35a2-55a8-8222-fcc23a1c0c1b,Chelsea,Stoke City,Chelsea_Stoke City,Chelsea_Stoke City_2013
2014,17,Stoke City,0.0,0.0,Chelsea,0.0,2.0,0,Niel Swarbrick,Chelsea,Stoke City,22654630-f18e-5335-8bd6-d40d685fc26a,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,8d727953-9df2-5ec1-b15b-b9eda4e71918,Stoke City,Chelsea,Chelsea_Stoke City,Chelsea_Stoke City_2014
2014,31,Chelsea,0.0,0.0,Stoke City,2.0,1.0,0,Jonathan Moss,Chelsea,Stoke City,c5a648b6-5190-5f73-a036-c10728f5eafb,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,8d727953-9df2-5ec1-b15b-b9eda4e71918,Chelsea,Stoke City,Chelsea_Stoke City,Chelsea_Stoke City_2014
2015,12,Stoke City,0.0,0.0,Chelsea,1.0,0.0,0,Anthony Taylor,Stoke City,Chelsea,c765e168-6b66-532e-888e-fe455837be3c,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,6cec64f0-bca4-5897-a1c4-44494064f2f5,Stoke City,Chelsea,Chelsea_Stoke City,Chelsea_Stoke City_2015
2015,29,Chelsea,0.0,0.0,Stoke City,1.0,1.0,0,Mark Clattenburg,draw,draw,e9c3d6d1-1a49-53cb-aef3-c89c16b4eb7d,cb1d1b1d-b792-58f8-a7c9-1c9f46516553,6cec64f0-bca4-5897-a1c4-44494064f2f5,Chelsea,Stoke City,Chelsea_Stoke City,Chelsea_Stoke City_2015
