season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2020,18,Leeds United,1.3,0.9,Southampton,3.0,0.0,2021-02-23,0,Leeds United,Southampton,b72fe987-2297-5bd4-b30c-bbb9025cba79,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,a108f95e-27f1-5530-b599-95f6ff9c5c12,Leeds United,Southampton,Leeds United_Southampton,Leeds United_Southampton_2020
2020,37,Southampton,1.6,1.7,Leeds United,0.0,2.0,2021-05-18,0,Leeds United,Southampton,42a74bf2-5b4b-51c3-a91e-8400a484b6a9,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,a108f95e-27f1-5530-b599-95f6ff9c5c12,Southampton,Leeds United,Leeds United_Southampton,Leeds United_Southampton_2020
2021,8,Southampton,1.9,0.2,Leeds United,1.0,0.0,2021-10-16,0,Southampton,Leeds United,730c80fa-2cf5-5d7f-b325-66e00fcf8b0d,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,e919218d-bfc7-58d0-9bfe-50a5764ac942,Southampton,Leeds United,Leeds United_Southampton,Leeds United_Southampton_2021
2021,31,Leeds United,1.2,1.4,Southampton,1.0,1.0,2022-04-02,0,draw,draw,0e29a5fc-e49a-56e4-b6e6-704c57cbd6b2,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,e919218d-bfc7-58d0-9bfe-50a5764ac942,Leeds United,Southampton,Leeds United_Southampton,Leeds United_Southampton_2021
2022,2,Southampton,1.2,1.8,Leeds United,2.0,2.0,2022-08-13,0,draw,draw,2042673d-db67-5410-b58b-0b78e8acdd36,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,cc72b98b-a187-5513-8097-2bdf3ff87c0f,Southampton,Leeds United,Leeds United_Southampton,Leeds United_Southampton_2022
2022,25,Leeds United,0.9,0.4,Southampton,1.0,0.0,2023-02-25,0,Leeds United,Southampton,d5eb8eaf-91af-5dee-a8b1-52a19c6e2b91,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,cc72b98b-a187-5513-8097-2bdf3ff87c0f,Leeds United,Southampton,Leeds United_Southampton,Leeds United_Southampton_2022
1992,9,Southampton,0.0,0.0,Leeds United,1.0,1.0,0,Alf Buksh,draw,draw,9f060467-d859-5319-9524-73a2e1ce4ff3,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,2d63bdd2-c3f4-564c-95f4-980144beca43,Southampton,Leeds United,Leeds United_Southampton,Leeds United_Southampton_1992
1992,23,Leeds United,0.0,0.0,Southampton,2.0,1.0,0,Ron Groves,Leeds United,Southampton,bf4ab8dd-cfc3-5507-8562-bbf39cb6e889,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,2d63bdd2-c3f4-564c-95f4-980144beca43,Leeds United,Southampton,Leeds United_Southampton,Leeds United_Southampton_1992
1993,7,Southampton,0.0,0.0,Leeds United,0.0,2.0,0,Keith Burge,Leeds United,Southampton,732aebf4-04b5-5d92-891c-8d3e104fd399,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,a8e66dd3-6ebb-54f6-a7b7-81007d033fb9,Southampton,Leeds United,Leeds United_Southampton,Leeds United_Southampton_1993
1993,32,Leeds United,0.0,0.0,Southampton,0.0,0.0,0,Robbie Hart,draw,draw,2464a236-85e6-5752-bdda-a2e611d7e2bc,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,a8e66dd3-6ebb-54f6-a7b7-81007d033fb9,Leeds United,Southampton,Leeds United_Southampton,Leeds United_Southampton_1993
1994,12,Southampton,0.0,0.0,Leeds United,1.0,3.0,0,Rodger Gifford,Leeds United,Southampton,a977de25-7cfa-5dc5-ae6e-2e8299c3aaa1,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,2482719f-6e3b-5915-b016-12392da51776,Southampton,Leeds United,Leeds United_Southampton,Leeds United_Southampton_1994
1994,24,Leeds United,0.0,0.0,Southampton,0.0,0.0,0,Philip Don,draw,draw,f7720ac7-d050-568e-8e86-eafafc894d68,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,2482719f-6e3b-5915-b016-12392da51776,Leeds United,Southampton,Leeds United_Southampton,Leeds United_Southampton_1994
1995,4,Southampton,0.0,0.0,Leeds United,1.0,1.0,0,Keith Cooper,draw,draw,9854becb-ade2-583d-8b60-eebbe271110c,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,9a223ebe-f1c2-56b8-8f3a-7b3441d20129,Southampton,Leeds United,Leeds United_Southampton,Leeds United_Southampton_1995
1995,26,Leeds United,0.0,0.0,Southampton,1.0,0.0,0,Martin Bodenham,Leeds United,Southampton,ae7c2fe1-2105-5a8e-b62a-24f756a75113,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,9a223ebe-f1c2-56b8-8f3a-7b3441d20129,Leeds United,Southampton,Leeds United_Southampton,Leeds United_Southampton_1995
1996,14,Southampton,0.0,0.0,Leeds United,0.0,2.0,0,Keith Burge,Leeds United,Southampton,97179db8-0b90-580c-b187-158163555e02,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,3015e41d-fc93-5572-8391-54755bd6ea2e,Southampton,Leeds United,Leeds United_Southampton,Leeds United_Southampton_1996
1996,26,Leeds United,0.0,0.0,Southampton,0.0,0.0,0,Gerald Ashby,draw,draw,4f3fd0b0-d9f6-5b82-897c-4c1f02a51db2,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,3015e41d-fc93-5572-8391-54755bd6ea2e,Leeds United,Southampton,Leeds United_Southampton,Leeds United_Southampton_1996
1997,8,Southampton,0.0,0.0,Leeds United,0.0,2.0,0,Stephen Lodge,Leeds United,Southampton,589fa66f-a82e-5046-b1ea-578d0e534370,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,d362c83a-8ed9-5a51-a43e-3fe608612339,Southampton,Leeds United,Leeds United_Southampton,Leeds United_Southampton_1997
1997,28,Leeds United,0.0,0.0,Southampton,0.0,1.0,0,Keith Burge,Southampton,Leeds United,87cd93a6-17dc-5eb8-99ab-3188480ae853,ef1a9f8c-b4f6-5793-b36a-a6e6b6cfdcfe,d362c83a-8ed9-5a51-a43e-3fe608612339,Leeds United,Southampton,Leeds United_Southampton,Leeds United_Southampton_1997
