season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,7,Newcastle Utd,0.3,1.3,Liverpool,1.0,1.0,2017-10-01,0,draw,draw,81bb90d2-d227-5861-baeb-da7411cafecd,40adc14d-36a2-5012-af99-394a435711e3,165634d1-a280-58c7-bb59-d0b6cbc64bb5,Newcastle Utd,Liverpool,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2017
2017,29,Liverpool,1.5,0.3,Newcastle Utd,2.0,0.0,2018-03-03,0,Liverpool,Newcastle Utd,d4eaf2f0-9af3-5e61-80cc-79343ccd4894,40adc14d-36a2-5012-af99-394a435711e3,165634d1-a280-58c7-bb59-d0b6cbc64bb5,Liverpool,Newcastle Utd,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2017
2018,19,Liverpool,2.9,0.5,Newcastle Utd,4.0,0.0,2018-12-26,0,Liverpool,Newcastle Utd,45df0f14-a44c-5e38-a4a1-3bf7bae93f18,40adc14d-36a2-5012-af99-394a435711e3,375879fa-1bbf-5e52-a55b-c8ff7264aba6,Liverpool,Newcastle Utd,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2018
2018,37,Newcastle Utd,1.4,1.2,Liverpool,2.0,3.0,2019-05-04,0,Liverpool,Newcastle Utd,974419af-820b-564e-be87-55d87bf6dc35,40adc14d-36a2-5012-af99-394a435711e3,375879fa-1bbf-5e52-a55b-c8ff7264aba6,Newcastle Utd,Liverpool,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2018
2019,5,Liverpool,3.0,0.3,Newcastle Utd,3.0,1.0,2019-09-14,0,Liverpool,Newcastle Utd,229fa1bd-fe00-51a7-893b-a94022f89dc0,40adc14d-36a2-5012-af99-394a435711e3,5f767d57-7f0b-56e6-977d-94fc19f6a9cd,Liverpool,Newcastle Utd,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2019
2019,38,Newcastle Utd,0.1,0.6,Liverpool,1.0,3.0,2020-07-26,0,Liverpool,Newcastle Utd,4a9da9df-ebbb-5a60-a9a7-bdacc7e818e1,40adc14d-36a2-5012-af99-394a435711e3,5f767d57-7f0b-56e6-977d-94fc19f6a9cd,Newcastle Utd,Liverpool,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2019
2020,16,Newcastle Utd,0.5,1.4,Liverpool,0.0,0.0,2020-12-30,0,draw,draw,8186c49b-8e7d-589d-bbcd-633099264ba8,40adc14d-36a2-5012-af99-394a435711e3,ddf48a0b-7f98-5738-be83-67089e25e829,Newcastle Utd,Liverpool,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2020
2020,33,Liverpool,2.4,1.0,Newcastle Utd,1.0,1.0,2021-04-24,0,draw,draw,4b14b87e-a46a-569f-bdc6-60fd8495f950,40adc14d-36a2-5012-af99-394a435711e3,ddf48a0b-7f98-5738-be83-67089e25e829,Liverpool,Newcastle Utd,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2020
2021,17,Liverpool,2.7,0.3,Newcastle Utd,3.0,1.0,2021-12-16,0,Liverpool,Newcastle Utd,33b2805f-5bee-5af5-bd1a-93735eff5536,40adc14d-36a2-5012-af99-394a435711e3,406efb11-eefb-51ab-b1d1-82f654067c65,Liverpool,Newcastle Utd,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2021
2021,35,Newcastle Utd,0.2,2.3,Liverpool,0.0,1.0,2022-04-30,0,Liverpool,Newcastle Utd,df72741b-5172-5739-8539-9540cc164cab,40adc14d-36a2-5012-af99-394a435711e3,406efb11-eefb-51ab-b1d1-82f654067c65,Newcastle Utd,Liverpool,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2021
2022,5,Liverpool,1.5,0.7,Newcastle Utd,2.0,1.0,2022-08-31,0,Liverpool,Newcastle Utd,a7560201-93de-575f-ad09-f87bd8270c75,40adc14d-36a2-5012-af99-394a435711e3,7be16164-8ef1-5e8e-9c41-f76b69ddf6c7,Liverpool,Newcastle Utd,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2022
2022,24,Newcastle Utd,2.0,1.9,Liverpool,0.0,2.0,2023-02-18,0,Liverpool,Newcastle Utd,d9cf527e-f854-5c50-ae72-2a263d62361c,40adc14d-36a2-5012-af99-394a435711e3,7be16164-8ef1-5e8e-9c41-f76b69ddf6c7,Newcastle Utd,Liverpool,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_2022
1993,15,Newcastle Utd,0.0,0.0,Liverpool,3.0,0.0,0,Gerald Ashby,Newcastle Utd,Liverpool,f3d25645-35a1-5462-bb27-c61cb3bd3656,40adc14d-36a2-5012-af99-394a435711e3,3691938c-30ce-5835-90a7-2ea8aa3017e9,Newcastle Utd,Liverpool,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_1993
1993,39,Liverpool,0.0,0.0,Newcastle Utd,0.0,2.0,0,Philip Don,Newcastle Utd,Liverpool,f5d92cd9-04e8-5012-805a-ad1f54b1c4a2,40adc14d-36a2-5012-af99-394a435711e3,3691938c-30ce-5835-90a7-2ea8aa3017e9,Liverpool,Newcastle Utd,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_1993
1994,7,Newcastle Utd,0.0,0.0,Liverpool,1.0,1.0,0,Philip Don,draw,draw,634d2edc-df97-58c4-9662-bb04c17fb6c2,40adc14d-36a2-5012-af99-394a435711e3,e336467d-b59d-5f1d-8d8a-f80c042d9cb2,Newcastle Utd,Liverpool,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_1994
1994,32,Liverpool,0.0,0.0,Newcastle Utd,2.0,0.0,0,Peter Jones,Liverpool,Newcastle Utd,bace2962-8d06-56c3-bdbe-e653d6b9f770,40adc14d-36a2-5012-af99-394a435711e3,e336467d-b59d-5f1d-8d8a-f80c042d9cb2,Liverpool,Newcastle Utd,Liverpool_Newcastle Utd,Liverpool_Newcastle Utd_1994
