season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,6,Southampton,1.0,1.2,Manchester Utd,0.0,1.0,2017-09-23,0,Manchester Utd,Southampton,be72a347-2649-5001-aa6b-7e1d36f761c8,893c6226-a740-5e9d-bb33-0806aa66d9b0,19cda86d-ffc4-5b15-833e-332da3787448,Southampton,Manchester Utd,Manchester Utd_Southampton,Manchester Utd_Southampton_2017
2017,21,Manchester Utd,1.7,0.6,Southampton,0.0,0.0,2017-12-30,0,draw,draw,d0af602c-8803-50b2-a454-5b9a3d41d454,893c6226-a740-5e9d-bb33-0806aa66d9b0,19cda86d-ffc4-5b15-833e-332da3787448,Manchester Utd,Southampton,Manchester Utd_Southampton,Manchester Utd_Southampton_2017
2018,14,Southampton,0.7,1.1,Manchester Utd,2.0,2.0,2018-12-01,0,draw,draw,69f3c61c-e28a-5632-994b-2356fe4a648f,893c6226-a740-5e9d-bb33-0806aa66d9b0,b3960874-71f1-538a-9c87-1114f8cea659,Southampton,Manchester Utd,Manchester Utd_Southampton,Manchester Utd_Southampton_2018
2018,29,Manchester Utd,2.2,0.4,Southampton,3.0,2.0,2019-03-02,0,Manchester Utd,Southampton,adb225fb-70dc-554f-b395-fe9db29b1da0,893c6226-a740-5e9d-bb33-0806aa66d9b0,b3960874-71f1-538a-9c87-1114f8cea659,Manchester Utd,Southampton,Manchester Utd_Southampton,Manchester Utd_Southampton_2018
2019,4,Southampton,0.9,1.5,Manchester Utd,1.0,1.0,2019-08-31,0,draw,draw,d88bc8ae-170b-50c7-a464-9c501423ffad,893c6226-a740-5e9d-bb33-0806aa66d9b0,03c4b26b-70b6-522f-80da-1c27b1727621,Southampton,Manchester Utd,Manchester Utd_Southampton,Manchester Utd_Southampton_2019
2019,35,Manchester Utd,1.5,1.6,Southampton,2.0,2.0,2020-07-13,0,draw,draw,010f7b05-2df2-57e1-a3d6-4031b6583bf0,893c6226-a740-5e9d-bb33-0806aa66d9b0,03c4b26b-70b6-522f-80da-1c27b1727621,Manchester Utd,Southampton,Manchester Utd_Southampton,Manchester Utd_Southampton_2019
2020,10,Southampton,0.5,2.1,Manchester Utd,2.0,3.0,2020-11-29,0,Manchester Utd,Southampton,94bdfcb4-c120-51e8-b115-8999d9f911c0,893c6226-a740-5e9d-bb33-0806aa66d9b0,6d66c0ae-967d-508f-a3de-f2deddc2ead9,Southampton,Manchester Utd,Manchester Utd_Southampton,Manchester Utd_Southampton_2020
2020,22,Manchester Utd,4.7,0.5,Southampton,9.0,0.0,2021-02-02,0,Manchester Utd,Southampton,642ab5a6-fb03-5282-af8b-b7ecb421eea9,893c6226-a740-5e9d-bb33-0806aa66d9b0,6d66c0ae-967d-508f-a3de-f2deddc2ead9,Manchester Utd,Southampton,Manchester Utd_Southampton,Manchester Utd_Southampton_2020
2021,2,Southampton,0.7,1.8,Manchester Utd,1.0,1.0,2021-08-22,0,draw,draw,9c2bf6ee-5d54-5af9-a9b2-197312b216c5,893c6226-a740-5e9d-bb33-0806aa66d9b0,9b9de811-ce86-5ff3-bb29-5566b4b3a7ef,Southampton,Manchester Utd,Manchester Utd_Southampton,Manchester Utd_Southampton_2021
2021,25,Manchester Utd,2.1,0.8,Southampton,1.0,1.0,2022-02-12,0,draw,draw,096c0bf7-8df3-5c51-918d-af637e21c484,893c6226-a740-5e9d-bb33-0806aa66d9b0,9b9de811-ce86-5ff3-bb29-5566b4b3a7ef,Manchester Utd,Southampton,Manchester Utd_Southampton,Manchester Utd_Southampton_2021
2022,4,Southampton,1.4,1.1,Manchester Utd,0.0,1.0,2022-08-27,0,Manchester Utd,Southampton,10c83181-bfc7-5560-9b64-d37bb3f6f902,893c6226-a740-5e9d-bb33-0806aa66d9b0,32670ffb-edf9-5aa5-8b40-5fd3a580ba6e,Southampton,Manchester Utd,Manchester Utd_Southampton,Manchester Utd_Southampton_2022
2022,27,Manchester Utd,0.8,1.0,Southampton,0.0,0.0,2023-03-12,0,draw,draw,5c02d33e-c4d2-5c5c-ad46-aee8faf37df1,893c6226-a740-5e9d-bb33-0806aa66d9b0,32670ffb-edf9-5aa5-8b40-5fd3a580ba6e,Manchester Utd,Southampton,Manchester Utd_Southampton,Manchester Utd_Southampton_2022
1992,4,Southampton,0.0,0.0,Manchester Utd,0.0,1.0,0,Raymond Lewis,Manchester Utd,Southampton,d538254f-49b8-5b4d-a2f4-a3ca646d4b12,893c6226-a740-5e9d-bb33-0806aa66d9b0,d20a6b17-5fa8-5d89-aa8a-9bceff219588,Southampton,Manchester Utd,Manchester Utd_Southampton,Manchester Utd_Southampton_1992
1992,30,Manchester Utd,0.0,0.0,Southampton,2.0,1.0,0,Raymond Lewis,Manchester Utd,Southampton,3ea9f193-e97b-5676-a193-e7dae4a4dadd,893c6226-a740-5e9d-bb33-0806aa66d9b0,d20a6b17-5fa8-5d89-aa8a-9bceff219588,Manchester Utd,Southampton,Manchester Utd_Southampton,Manchester Utd_Southampton_1992
