season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,15,Stoke City,1.1,0.4,Swansea City,2.0,1.0,2017-12-02,0,Stoke City,Swansea City,3eb658fc-4556-5621-8c00-4dbe8befd3a8,3658ab92-87e4-50be-9c29-fc5384579d6e,57855c22-a9a1-5674-9dbb-1c6241ca6fcf,Stoke City,Swansea City,Stoke City_Swansea City,Stoke City_Swansea City_2017
2017,38,Swansea City,3.0,1.6,Stoke City,1.0,2.0,2018-05-13,0,Stoke City,Swansea City,c2ce46e8-2be7-5455-be12-1a626b43cd83,3658ab92-87e4-50be-9c29-fc5384579d6e,57855c22-a9a1-5674-9dbb-1c6241ca6fcf,Swansea City,Stoke City,Stoke City_Swansea City,Stoke City_Swansea City_2017
2011,7,Swansea City,0.0,0.0,Stoke City,2.0,0.0,0,Mike Jones,Swansea City,Stoke City,02ce15ac-a76b-5d9c-bc25-fe6ff1035310,3658ab92-87e4-50be-9c29-fc5384579d6e,94979132-356e-5114-9899-172d5b9bf8be,Swansea City,Stoke City,Stoke City_Swansea City,Stoke City_Swansea City_2011
2011,26,Stoke City,0.0,0.0,Swansea City,2.0,0.0,0,Howard Webb,Stoke City,Swansea City,b4bfd751-4316-54d2-afa6-6fcbdd8372d4,3658ab92-87e4-50be-9c29-fc5384579d6e,94979132-356e-5114-9899-172d5b9bf8be,Stoke City,Swansea City,Stoke City_Swansea City,Stoke City_Swansea City_2011
2012,6,Stoke City,0.0,0.0,Swansea City,2.0,0.0,0,Jon Moss,Stoke City,Swansea City,d0faba1a-8e30-564c-8fa3-e2b6597bff58,3658ab92-87e4-50be-9c29-fc5384579d6e,c12ff8b7-e5fb-5ddd-a0e6-53dedb0787b7,Stoke City,Swansea City,Stoke City_Swansea City,Stoke City_Swansea City_2012
2012,23,Swansea City,0.0,0.0,Stoke City,3.0,1.0,0,Mike Dean,Swansea City,Stoke City,3f5c32c6-8d40-5db5-9d30-5943f485a2e8,3658ab92-87e4-50be-9c29-fc5384579d6e,c12ff8b7-e5fb-5ddd-a0e6-53dedb0787b7,Swansea City,Stoke City,Stoke City_Swansea City,Stoke City_Swansea City_2012
2013,11,Swansea City,0.0,0.0,Stoke City,3.0,3.0,0,Bobby Madley,draw,draw,c59dc71c-7b73-5993-bc9e-0e43dd67c73b,3658ab92-87e4-50be-9c29-fc5384579d6e,02eb071f-ce0d-582c-99e5-f13b7efe6049,Swansea City,Stoke City,Stoke City_Swansea City,Stoke City_Swansea City_2013
2013,26,Stoke City,0.0,0.0,Swansea City,1.0,1.0,0,Jon Moss,draw,draw,2555223f-7a72-5286-9cb5-c410aab9afa5,3658ab92-87e4-50be-9c29-fc5384579d6e,02eb071f-ce0d-582c-99e5-f13b7efe6049,Stoke City,Swansea City,Stoke City_Swansea City,Stoke City_Swansea City_2013
2014,8,Stoke City,0.0,0.0,Swansea City,2.0,1.0,0,Michael Oliver,Stoke City,Swansea City,42d0d953-4684-54d7-9577-2515ee6a3c1a,3658ab92-87e4-50be-9c29-fc5384579d6e,a067ab64-7163-5486-a93e-af9fef9c1671,Stoke City,Swansea City,Stoke City_Swansea City,Stoke City_Swansea City_2014
2014,35,Swansea City,0.0,0.0,Stoke City,2.0,0.0,0,Craig Pawson,Swansea City,Stoke City,50418376-cf69-5807-bd28-e71235e7c852,3658ab92-87e4-50be-9c29-fc5384579d6e,a067ab64-7163-5486-a93e-af9fef9c1671,Swansea City,Stoke City,Stoke City_Swansea City,Stoke City_Swansea City_2014
2015,9,Swansea City,0.0,0.0,Stoke City,0.0,1.0,0,Robert Madley,Stoke City,Swansea City,d69d955f-0f03-5ce4-8320-5841a145b815,3658ab92-87e4-50be-9c29-fc5384579d6e,5953a053-2b1a-5106-8911-77438148274c,Swansea City,Stoke City,Stoke City_Swansea City,Stoke City_Swansea City_2015
2015,32,Stoke City,0.0,0.0,Swansea City,2.0,2.0,0,Martin Atkinson,draw,draw,baf05797-cd8a-5c86-aacc-28837601a37d,3658ab92-87e4-50be-9c29-fc5384579d6e,5953a053-2b1a-5106-8911-77438148274c,Stoke City,Swansea City,Stoke City_Swansea City,Stoke City_Swansea City_2015
