matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,0.5,3.3,0.0,6.0,2017-09-16,Anthony Taylor,Vicarage Road Stadium,Sat,15:00,"20,305",50,Manchester City,Watford,b48e2c17-a7b0-5c93-a7d4-1a7c85b7c974,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,0.5,3.3,0.0,6.0,50.0
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,2.1,1.0,3.0,1.0,2018-01-02,Lee Mason,Etihad Stadium,Tue,20:00,"53,556",238,Manchester City,Watford,e3d3ea97-1caf-52ec-a560-c0a2e9b2ec3e,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,2.1,1.0,3.0,1.0,238.0
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,1.8,2.5,1.0,2.0,2018-12-04,Paul Tierney,Vicarage Road Stadium,Tue,20:00,"20,389",157,Manchester City,Watford,749bb0ae-86f3-53f8-a26d-e7594f99e5c2,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,1.8,2.5,1.0,2.0,157.0
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,3.4,0.2,3.0,1.0,2019-03-09,Paul Tierney,Etihad Stadium,Sat,17:30,"54,104",325,Manchester City,Watford,3bfbb2cc-c8d7-52cd-9c4d-2e5373f31112,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,3.4,0.2,3.0,1.0,325.0
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,5.9,0.4,8.0,0.0,2019-09-21,Mike Dean,Etihad Stadium,Sat,15:00,"54,273",57,Manchester City,Watford,10de9839-c5fc-590c-b81d-686c16582d63,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,5.9,0.4,8.0,0.0,57.0
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,0.1,3.3,0.0,4.0,2020-07-21,Michael Oliver,Vicarage Road Stadium,Tue,18:00,0,404,Manchester City,Watford,af44583c-3be5-58ed-9983-496e369736c9,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,0.1,3.3,0.0,4.0,404.0
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,0.8,3.1,1.0,3.0,2021-12-04,Simon Hooper,Vicarage Road Stadium,Sat,17:30,"20,673",157,Manchester City,Watford,ef23ad1a-d659-5ad1-9ce1-1b086b33ef50,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,0.8,3.1,1.0,3.0,157.0
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,3.6,0.5,5.0,1.0,2022-04-23,Kevin Friend,Etihad Stadium,Sat,15:00,"53,013",378,Manchester City,Watford,631e78c6-e7b2-51cb-b606-c30362e054b4,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,3.6,0.5,5.0,1.0,378.0
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,0.0,0.0,0.0,0.0,0,Mark Clattenburg,0,0,0,0,5718,draw,draw,a5f6d98d-a9b0-5c88-b490-65200acf3795,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,0.0,0.0,0.0,0.0,5718.0
9b262969-6f4f-5845-b978-1c057f36db01,Troy Deeney,ENG,30,90.0,0,0,0,0,2,2,0,0,45.0,0.0,0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0,1,2,2,0.0,0.0,0,2.0,16.0,6.0,72.7,True,2018-2019,FW,None,None,None,1.0,Manchester City_Watford,Manchester City_Watford_2018,0.0,0.0,1.0,1.0,0,Rob Styles,0,0,0,0,5906,draw,draw,042ac84d-bce9-552a-aa29-c8b5f86a0cc5,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0.5,0.1,2.0,0.0,18.0,33.0,54.5,3.0,12.0,0.0,1.0,0.0,160.0,79.0,15.0,22.0,68.2,1.0,4.0,25.0,0.0,1.0,0.0,0.1,2.0,4.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,21.0,18.0,6.0,45.0,0.0,1.0,100.0,40.0,17.0,1.0,0.0,0.0,2.0,32.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,72.7,1.0,0.0,0.0,1.0,1.0,5906.0
