season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,7,Arsenal,2.4,0.4,Brighton,2.0,0.0,2017-10-01,0,Arsenal,Brighton,c50f9c28-6ba7-5132-928a-4cbf5a6ee44e,cac5c8f3-5757-54c1-9948-c4857a18c066,c513a996-5f2a-51a0-aeb9-3f19e70e97d0,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2017
2017,29,Brighton,1.2,1.2,Arsenal,2.0,1.0,2018-03-04,0,Brighton,Arsenal,b1a087f9-92d4-5a09-b66e-d588511b3075,cac5c8f3-5757-54c1-9948-c4857a18c066,c513a996-5f2a-51a0-aeb9-3f19e70e97d0,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2017
2018,19,Brighton,1.1,0.8,Arsenal,1.0,1.0,2018-12-26,0,draw,draw,40c6d4ee-11fb-5719-996c-4a63b0613f62,cac5c8f3-5757-54c1-9948-c4857a18c066,a35049aa-6b50-51f5-8df0-013634edce77,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2018
2018,37,Arsenal,2.4,1.9,Brighton,1.0,1.0,2019-05-05,0,draw,draw,387cc956-d149-5a6c-831a-c3f5e0d84404,cac5c8f3-5757-54c1-9948-c4857a18c066,a35049aa-6b50-51f5-8df0-013634edce77,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2018
2019,15,Arsenal,0.9,1.7,Brighton,1.0,2.0,2019-12-05,0,Brighton,Arsenal,5d1e69f0-97f7-536e-9a8e-995c5d9dff6e,cac5c8f3-5757-54c1-9948-c4857a18c066,7a4e3d1b-bde6-56d6-b38d-cf620a2447c9,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2019
2019,30,Brighton,1.0,0.8,Arsenal,2.0,1.0,2020-06-20,0,Brighton,Arsenal,9146bdd6-77f4-5f9b-80ba-6e34127ca515,cac5c8f3-5757-54c1-9948-c4857a18c066,7a4e3d1b-bde6-56d6-b38d-cf620a2447c9,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2019
2020,16,Brighton,0.8,1.1,Arsenal,0.0,1.0,2020-12-29,0,Arsenal,Brighton,5fc0cec0-3ac7-500b-b7dd-c70a6414e49e,cac5c8f3-5757-54c1-9948-c4857a18c066,4e23a8d4-aad9-5641-904e-6b8ef8b500df,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2020
2020,38,Arsenal,0.8,0.2,Brighton,2.0,0.0,2021-05-23,0,Arsenal,Brighton,3eedfad5-7f3e-53ad-a7d4-8ed7ce43315d,cac5c8f3-5757-54c1-9948-c4857a18c066,4e23a8d4-aad9-5641-904e-6b8ef8b500df,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2020
2021,7,Brighton,1.1,0.4,Arsenal,0.0,0.0,2021-10-02,0,draw,draw,618d1707-380b-5e94-ae39-901f3b5b8e48,cac5c8f3-5757-54c1-9948-c4857a18c066,06b3ff2e-c81f-5e16-ad4d-6214f76ce011,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2021
2021,32,Arsenal,1.9,0.6,Brighton,1.0,2.0,2022-04-09,0,Brighton,Arsenal,e0a0af52-71e6-59a0-ab10-1af61b97aa30,cac5c8f3-5757-54c1-9948-c4857a18c066,06b3ff2e-c81f-5e16-ad4d-6214f76ce011,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2021
2022,18,Brighton,1.2,2.9,Arsenal,2.0,4.0,2022-12-31,0,Arsenal,Brighton,a23feac8-00cc-5e8d-9bc3-1c025997b71b,cac5c8f3-5757-54c1-9948-c4857a18c066,54622814-04ae-5e7d-9fe9-8306e84af88a,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2022
2022,36,Arsenal,0.9,1.7,Brighton,0.0,3.0,2023-05-14,0,Brighton,Arsenal,fc8579dc-97cd-5128-b393-7d15ba1a0fcc,cac5c8f3-5757-54c1-9948-c4857a18c066,54622814-04ae-5e7d-9fe9-8306e84af88a,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2022
