season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2018,8,Fulham,1.4,1.1,Arsenal,1.0,5.0,2018-10-07,0,Arsenal,Fulham,d20643b2-f682-566f-9a63-64407ee6e675,42585e77-fe1d-5a86-8278-faa4d254ecd1,fb2e42b0-b632-550c-b050-e3f134d16439,Fulham,Arsenal,Arsenal_Fulham,Arsenal_Fulham_2018
2018,21,Arsenal,4.5,1.4,Fulham,4.0,1.0,2019-01-01,0,Arsenal,Fulham,ec34a58f-e3cc-5419-9bdf-dd1e899607a6,42585e77-fe1d-5a86-8278-faa4d254ecd1,fb2e42b0-b632-550c-b050-e3f134d16439,Arsenal,Fulham,Arsenal_Fulham,Arsenal_Fulham_2018
2020,1,Fulham,0.1,1.9,Arsenal,0.0,3.0,2020-09-12,0,Arsenal,Fulham,9a9b795d-ee9b-567e-b482-3e2bcecddf7d,42585e77-fe1d-5a86-8278-faa4d254ecd1,333a800d-3115-585a-9f3c-91acf3b690aa,Fulham,Arsenal,Arsenal_Fulham,Arsenal_Fulham_2020
2020,32,Arsenal,2.7,0.9,Fulham,1.0,1.0,2021-04-18,0,draw,draw,9848a22f-38a6-50a3-99d2-8b3d66d09732,42585e77-fe1d-5a86-8278-faa4d254ecd1,333a800d-3115-585a-9f3c-91acf3b690aa,Arsenal,Fulham,Arsenal_Fulham,Arsenal_Fulham_2020
2022,4,Arsenal,2.6,0.8,Fulham,2.0,1.0,2022-08-27,0,Arsenal,Fulham,b92b59be-edc1-5009-9e6e-79736037508a,42585e77-fe1d-5a86-8278-faa4d254ecd1,7962dc42-3b4d-5239-98db-48a1c8ce8809,Arsenal,Fulham,Arsenal_Fulham,Arsenal_Fulham_2022
2022,27,Fulham,0.8,2.3,Arsenal,0.0,3.0,2023-03-12,0,Arsenal,Fulham,cb52109d-ea0c-5689-9dec-b9b145b30fc6,42585e77-fe1d-5a86-8278-faa4d254ecd1,7962dc42-3b4d-5239-98db-48a1c8ce8809,Fulham,Arsenal,Arsenal_Fulham,Arsenal_Fulham_2022
2001,5,Fulham,0.0,0.0,Arsenal,1.0,3.0,0,Alan Wiley,Arsenal,Fulham,19f8df16-dcd1-5e16-a110-a340818bf708,42585e77-fe1d-5a86-8278-faa4d254ecd1,e0df9d0a-17a8-5217-aa3e-cfe3047ec90e,Fulham,Arsenal,Arsenal_Fulham,Arsenal_Fulham_2001
2001,27,Arsenal,0.0,0.0,Fulham,4.0,1.0,0,Uriah Rennie,Arsenal,Fulham,09f0a72e-0f05-572a-b137-3521a572acc9,42585e77-fe1d-5a86-8278-faa4d254ecd1,e0df9d0a-17a8-5217-aa3e-cfe3047ec90e,Arsenal,Fulham,Arsenal_Fulham,Arsenal_Fulham_2001
2002,12,Fulham,0.0,0.0,Arsenal,0.0,1.0,0,Jeff Winter,Arsenal,Fulham,7aff6cde-8954-5bbc-83bd-6a38b2940d6b,42585e77-fe1d-5a86-8278-faa4d254ecd1,26cad640-97a9-5a09-ba13-802568f48fc6,Fulham,Arsenal,Arsenal_Fulham,Arsenal_Fulham_2002
2002,26,Arsenal,0.0,0.0,Fulham,2.0,1.0,0,Eddie Wolstenholme,Arsenal,Fulham,28fe32bc-8c32-5e31-accf-6de6edd47a25,42585e77-fe1d-5a86-8278-faa4d254ecd1,26cad640-97a9-5a09-ba13-802568f48fc6,Arsenal,Fulham,Arsenal_Fulham,Arsenal_Fulham_2002
2003,14,Arsenal,0.0,0.0,Fulham,0.0,0.0,0,Graham Barber,draw,draw,a386f102-117b-56d8-b5ef-383eda07d640,42585e77-fe1d-5a86-8278-faa4d254ecd1,22086e8f-8711-5ca0-ada6-3c379b30b850,Arsenal,Fulham,Arsenal_Fulham,Arsenal_Fulham_2003
2003,37,Fulham,0.0,0.0,Arsenal,0.0,1.0,0,Mike Dean,Arsenal,Fulham,48487df9-1d65-522d-9ec2-c4438f107d7d,42585e77-fe1d-5a86-8278-faa4d254ecd1,22086e8f-8711-5ca0-ada6-3c379b30b850,Fulham,Arsenal,Arsenal_Fulham,Arsenal_Fulham_2003
2004,5,Fulham,0.0,0.0,Arsenal,0.0,3.0,0,Mark Halsey,Arsenal,Fulham,58cb982d-b538-56a3-83cb-596301567c04,42585e77-fe1d-5a86-8278-faa4d254ecd1,4524335a-5ca6-5cb9-89f8-080363018c8e,Fulham,Arsenal,Arsenal_Fulham,Arsenal_Fulham_2004
2004,19,Arsenal,0.0,0.0,Fulham,2.0,0.0,0,Barry Knight,Arsenal,Fulham,0adf4975-fe97-5e74-8cef-63634de5970f,42585e77-fe1d-5a86-8278-faa4d254ecd1,4524335a-5ca6-5cb9-89f8-080363018c8e,Arsenal,Fulham,Arsenal_Fulham,Arsenal_Fulham_2004
2005,3,Arsenal,0.0,0.0,Fulham,4.0,1.0,0,Mark Clattenburg,Arsenal,Fulham,7339ab5b-6658-5277-8001-c1494943a9f0,42585e77-fe1d-5a86-8278-faa4d254ecd1,b26b3f08-a1bf-5e3e-838e-fdc36f80a652,Arsenal,Fulham,Arsenal_Fulham,Arsenal_Fulham_2005
2005,28,Fulham,0.0,0.0,Arsenal,0.0,4.0,0,Rob Styles,Arsenal,Fulham,7b1fe011-bc2c-5f08-ac47-ff7fbf265e8c,42585e77-fe1d-5a86-8278-faa4d254ecd1,b26b3f08-a1bf-5e3e-838e-fdc36f80a652,Fulham,Arsenal,Arsenal_Fulham,Arsenal_Fulham_2005
2006,15,Fulham,0.0,0.0,Arsenal,2.0,1.0,0,Howard Webb,Fulham,Arsenal,9ced65d4-4825-5f45-83d5-82ee9fc5abce,42585e77-fe1d-5a86-8278-faa4d254ecd1,88e706ad-b663-5eac-9492-bfca0976e5b0,Fulham,Arsenal,Arsenal_Fulham,Arsenal_Fulham_2006
2006,36,Arsenal,0.0,0.0,Fulham,3.0,1.0,0,Mark Clattenburg,Arsenal,Fulham,de74fd6c-6b65-5441-8b04-49816b806161,42585e77-fe1d-5a86-8278-faa4d254ecd1,88e706ad-b663-5eac-9492-bfca0976e5b0,Arsenal,Fulham,Arsenal_Fulham,Arsenal_Fulham_2006
