season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,10,Arsenal,2.0,0.9,Swansea City,2.0,1.0,2017-10-28,0,Arsenal,Swansea City,ee2cc701-73a1-50f4-b880-8274eedbc043,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,05cab1d1-7e31-5195-8fed-7bee427dcc68,Arsenal,Swansea City,Arsenal_Swansea City,Arsenal_Swansea City_2017
2017,25,Swansea City,2.1,1.3,Arsenal,3.0,1.0,2018-01-30,0,Swansea City,Arsenal,372876fd-0523-56d2-9e17-ebacf938a99a,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,05cab1d1-7e31-5195-8fed-7bee427dcc68,Swansea City,Arsenal,Arsenal_Swansea City,Arsenal_Swansea City_2017
2011,4,Arsenal,0.0,0.0,Swansea City,1.0,0.0,0,Stuart Attwell,Arsenal,Swansea City,d39ec8d2-9431-5fde-97c1-38a0526ce699,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,ecd076ec-cdf4-5c07-a13d-5cd71add9178,Arsenal,Swansea City,Arsenal_Swansea City,Arsenal_Swansea City_2011
2011,21,Swansea City,0.0,0.0,Arsenal,3.0,2.0,0,Michael Oliver,Swansea City,Arsenal,14257e60-da67-5a1c-887a-095f13c9f8f9,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,ecd076ec-cdf4-5c07-a13d-5cd71add9178,Swansea City,Arsenal,Arsenal_Swansea City,Arsenal_Swansea City_2011
2012,15,Arsenal,0.0,0.0,Swansea City,0.0,2.0,0,Mark Clattenburg,Swansea City,Arsenal,032e5489-ab20-5c21-b37a-d6873ef84779,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,032e19e9-16b4-5708-bf3d-b6beec60e588,Arsenal,Swansea City,Arsenal_Swansea City,Arsenal_Swansea City_2012
2012,30,Swansea City,0.0,0.0,Arsenal,0.0,2.0,0,Jon Moss,Arsenal,Swansea City,9d32fc09-a143-567e-bead-499b8c7ae7eb,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,032e19e9-16b4-5708-bf3d-b6beec60e588,Swansea City,Arsenal,Arsenal_Swansea City,Arsenal_Swansea City_2012
2013,6,Swansea City,0.0,0.0,Arsenal,1.0,2.0,0,Mark Clattenburg,Arsenal,Swansea City,5385d47f-dd20-5aa5-bead-625821824354,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,6a4b61df-aac4-5d83-af27-395f7b572eac,Swansea City,Arsenal,Arsenal_Swansea City,Arsenal_Swansea City_2013
2013,29,Arsenal,0.0,0.0,Swansea City,2.0,2.0,0,Lee Probert,draw,draw,71a1cde0-611d-5791-86b7-38b63de3e4ab,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,6a4b61df-aac4-5d83-af27-395f7b572eac,Arsenal,Swansea City,Arsenal_Swansea City,Arsenal_Swansea City_2013
2014,11,Swansea City,0.0,0.0,Arsenal,2.0,1.0,0,Philip Dowd,Swansea City,Arsenal,2b5384d2-ebc5-5246-8032-053405757eb7,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,b25fa02f-33ff-5e3c-babd-3380901778df,Swansea City,Arsenal,Arsenal_Swansea City,Arsenal_Swansea City_2014
2014,36,Arsenal,0.0,0.0,Swansea City,0.0,1.0,0,Kevin Friend,Swansea City,Arsenal,ca68316c-77aa-5e02-bb04-495adc43d16f,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,b25fa02f-33ff-5e3c-babd-3380901778df,Arsenal,Swansea City,Arsenal_Swansea City,Arsenal_Swansea City_2014
2015,11,Swansea City,0.0,0.0,Arsenal,0.0,3.0,0,Kevin Friend,Arsenal,Swansea City,8370b6cc-aac4-533c-9682-baa147306bac,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,31e2609a-4d92-5fb4-b85e-77439327d52d,Swansea City,Arsenal,Arsenal_Swansea City,Arsenal_Swansea City_2015
2015,28,Arsenal,0.0,0.0,Swansea City,1.0,2.0,0,Robert Madley,Swansea City,Arsenal,eeb1b239-2647-551d-93dd-0acc3555a395,5e40198b-4ffa-56a2-8aaf-1e4f0d04dfc4,31e2609a-4d92-5fb4-b85e-77439327d52d,Arsenal,Swansea City,Arsenal_Swansea City,Arsenal_Swansea City_2015
