season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2019,16,Aston Villa,1.2,4.6,Leicester City,1.0,4.0,2019-12-08,0,Leicester City,Aston Villa,6ce543c4-6df2-5f58-8869-11036f4dd243,4e9bebbd-961f-56cd-867b-b047e7e9a97f,cc4b4ecb-6b35-59b5-b56d-ade89502d73f,Aston Villa,Leicester City,Aston Villa_Leicester City,Aston Villa_Leicester City_2019
2019,29,Leicester City,2.1,0.5,Aston Villa,4.0,0.0,2020-03-09,0,Leicester City,Aston Villa,4d3621eb-27d6-5fee-bbec-0987a9ff387b,4e9bebbd-961f-56cd-867b-b047e7e9a97f,cc4b4ecb-6b35-59b5-b56d-ade89502d73f,Leicester City,Aston Villa,Aston Villa_Leicester City,Aston Villa_Leicester City_2019
2020,5,Leicester City,0.6,0.7,Aston Villa,0.0,1.0,2020-10-18,0,Aston Villa,Leicester City,413fe122-0980-562a-a46a-81f7d2e1a900,4e9bebbd-961f-56cd-867b-b047e7e9a97f,aa9b4efe-a5a4-5d37-b4d1-e81a8b7fc896,Leicester City,Aston Villa,Aston Villa_Leicester City,Aston Villa_Leicester City_2020
2020,25,Aston Villa,1.4,1.1,Leicester City,1.0,2.0,2021-02-21,0,Leicester City,Aston Villa,c684fc20-6c11-5fcf-a6da-c222b1d6037f,4e9bebbd-961f-56cd-867b-b047e7e9a97f,aa9b4efe-a5a4-5d37-b4d1-e81a8b7fc896,Aston Villa,Leicester City,Aston Villa_Leicester City,Aston Villa_Leicester City_2020
2021,15,Aston Villa,2.1,1.1,Leicester City,2.0,1.0,2021-12-05,0,Aston Villa,Leicester City,1fab5092-4dd1-58a1-83f8-5f8d06bd8b49,4e9bebbd-961f-56cd-867b-b047e7e9a97f,965d997c-efc9-5a69-bcd1-be280183545c,Aston Villa,Leicester City,Aston Villa_Leicester City,Aston Villa_Leicester City_2021
2021,34,Leicester City,0.3,0.9,Aston Villa,0.0,0.0,2022-04-23,0,draw,draw,eba2600c-20e0-5704-a3d3-49763d74e6d6,4e9bebbd-961f-56cd-867b-b047e7e9a97f,965d997c-efc9-5a69-bcd1-be280183545c,Leicester City,Aston Villa,Aston Villa_Leicester City,Aston Villa_Leicester City_2021
2022,22,Aston Villa,1.7,2.6,Leicester City,2.0,4.0,2023-02-04,0,Leicester City,Aston Villa,aff8495b-45ca-5178-910d-cb6003721960,4e9bebbd-961f-56cd-867b-b047e7e9a97f,696ecf23-d44c-55a5-81b3-43c8cc102f5d,Aston Villa,Leicester City,Aston Villa_Leicester City,Aston Villa_Leicester City_2022
2022,7,Leicester City,0.5,1.0,Aston Villa,1.0,2.0,2023-04-04,0,Aston Villa,Leicester City,7cb0d29e-b2c4-557e-ad4c-6ed266836051,4e9bebbd-961f-56cd-867b-b047e7e9a97f,696ecf23-d44c-55a5-81b3-43c8cc102f5d,Leicester City,Aston Villa,Aston Villa_Leicester City,Aston Villa_Leicester City_2022
1994,17,Leicester City,0.0,0.0,Aston Villa,1.0,1.0,0,Martin Bodenham,draw,draw,8c5d5623-9b08-54a2-aa35-f27a6e257fb3,4e9bebbd-961f-56cd-867b-b047e7e9a97f,3d97f4d2-7cc1-5064-885b-0df817b17f58,Leicester City,Aston Villa,Aston Villa_Leicester City,Aston Villa_Leicester City_1994
1994,30,Aston Villa,0.0,0.0,Leicester City,4.0,4.0,0,Kelvin Morton,draw,draw,d9733c81-4997-5033-a10b-0fc962d7ae30,4e9bebbd-961f-56cd-867b-b047e7e9a97f,3d97f4d2-7cc1-5064-885b-0df817b17f58,Aston Villa,Leicester City,Aston Villa_Leicester City,Aston Villa_Leicester City_1994
