season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
1996,17,Sunderland,0.0,0.0,Chelsea,3.0,0.0,0,Martin Bodenham,Sunderland,Chelsea,b60d58fd-397d-5d4f-91af-d6f627941b3d,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,a49a4abb-d5ea-54cd-a57a-a63df1749348,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_1996
1996,31,Chelsea,0.0,0.0,Sunderland,6.0,2.0,0,Graham Barber,Chelsea,Sunderland,909f5ccc-80e5-5a0f-9140-60f22156c8cb,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,a49a4abb-d5ea-54cd-a57a-a63df1749348,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_1996
1999,1,Chelsea,0.0,0.0,Sunderland,4.0,0.0,0,Mike Riley,Chelsea,Sunderland,e4726534-d55d-55d3-8b30-f226917de59c,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,0efbfda4-570a-5db1-805c-507632bcf432,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_1999
1999,17,Sunderland,0.0,0.0,Chelsea,4.0,1.0,0,Steve Dunn,Sunderland,Chelsea,4ae36685-1063-59ea-8cc0-fbe2d1bacb79,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,0efbfda4-570a-5db1-805c-507632bcf432,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_1999
2000,9,Sunderland,0.0,0.0,Chelsea,1.0,0.0,0,Jeff Winter,Sunderland,Chelsea,1620e6e5-92e3-50a2-a26c-37b8a0b2c07c,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,73deca4f-56d7-5bc3-99bf-12784419b3e3,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2000
2000,30,Chelsea,0.0,0.0,Sunderland,2.0,4.0,0,Paul Durkin,Sunderland,Chelsea,27508301-c8ac-5c0d-a964-68b223c58ddf,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,73deca4f-56d7-5bc3-99bf-12784419b3e3,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2000
2001,16,Sunderland,0.0,0.0,Chelsea,0.0,0.0,0,Neale Barry,draw,draw,b899907a-20c2-528e-b535-75ef49f4791d,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,a9c9d204-676c-5746-8090-4c5d17446206,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2001
2001,30,Chelsea,0.0,0.0,Sunderland,4.0,0.0,0,Barry Knight,Chelsea,Sunderland,96492cfe-7709-54e4-9744-4cbf08d19144,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,a9c9d204-676c-5746-8090-4c5d17446206,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2001
2002,16,Chelsea,0.0,0.0,Sunderland,3.0,0.0,0,Stephen Bennett,Chelsea,Sunderland,43ce3956-8b01-5231-956b-dc890e607e15,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,a4a1f41c-fb52-53af-ae3b-eeb990fd489e,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2002
2002,32,Sunderland,0.0,0.0,Chelsea,1.0,2.0,0,Dermot Gallagher,Chelsea,Sunderland,30df69e2-794a-50d2-bf44-ccf18708fdfc,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,a4a1f41c-fb52-53af-ae3b-eeb990fd489e,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2002
2005,5,Chelsea,0.0,0.0,Sunderland,2.0,0.0,0,Mike Dean,Chelsea,Sunderland,cd457a71-88a1-5f5f-be69-bd89c9640ed1,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,b51df325-6457-5ace-b7fd-073c90f19fea,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2005
2005,22,Sunderland,0.0,0.0,Chelsea,1.0,2.0,0,Chris Foy,Chelsea,Sunderland,b926360f-a2c7-541c-9197-7eb0888f2fcd,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,b51df325-6457-5ace-b7fd-073c90f19fea,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2005
2007,16,Chelsea,0.0,0.0,Sunderland,2.0,0.0,0,Peter Walton,Chelsea,Sunderland,53804d6b-7e87-56c9-a173-56c8a4c738df,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,c5b22522-23a6-5ffe-8bd8-411d7416dcb7,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2007
2007,30,Sunderland,0.0,0.0,Chelsea,0.0,1.0,0,Mike Dean,Chelsea,Sunderland,1a1a7b00-a23f-5c38-a2ce-262f8ea7f851,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,c5b22522-23a6-5ffe-8bd8-411d7416dcb7,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2007
2008,11,Chelsea,0.0,0.0,Sunderland,5.0,0.0,0,Martin Atkinson,Chelsea,Sunderland,2addffad-89f4-5eb0-b559-cd1d67beb80b,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,3d50a565-7f56-5c3d-8da2-328688d2c33d,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2008
2008,38,Sunderland,0.0,0.0,Chelsea,2.0,3.0,0,Mark Halsey,Chelsea,Sunderland,0427dba7-2bc1-5f1b-9c77-bc955eb2ec8f,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,3d50a565-7f56-5c3d-8da2-328688d2c33d,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2008
2009,2,Sunderland,0.0,0.0,Chelsea,1.0,3.0,0,Stephen Bennett,Chelsea,Sunderland,829f577d-b38d-5659-9698-3a1caee00355,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,0e04b473-99fe-5f9b-af8f-0d57f472d4b0,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2009
2009,22,Chelsea,0.0,0.0,Sunderland,7.0,2.0,0,Chris Foy,Chelsea,Sunderland,23ad0a95-0042-5a96-83ab-1baaf7e2ae45,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,0e04b473-99fe-5f9b-af8f-0d57f472d4b0,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2009
2010,13,Chelsea,0.0,0.0,Sunderland,0.0,3.0,0,Chris Foy,Sunderland,Chelsea,3b98dc77-64a9-58f9-951c-024afc212087,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,f4224275-9933-5756-89c9-13324a7aea8f,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2010
2010,25,Sunderland,0.0,0.0,Chelsea,2.0,4.0,0,Mark Halsey,Chelsea,Sunderland,4c1fb89b-8567-5b3c-aeae-638e7540de76,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,f4224275-9933-5756-89c9-13324a7aea8f,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2010
2011,4,Sunderland,0.0,0.0,Chelsea,1.0,2.0,0,Lee Probert,Chelsea,Sunderland,a2416d96-6f7f-52fb-91a9-35cf38a0516a,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,32bbe445-8e35-5dc8-899a-1b80e2ce2fcf,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2011
2011,21,Chelsea,0.0,0.0,Sunderland,1.0,0.0,0,Phil Dowd,Chelsea,Sunderland,845614c5-fdc0-5f01-bfd9-bfd14d6d548f,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,32bbe445-8e35-5dc8-899a-1b80e2ce2fcf,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2011
2012,16,Sunderland,0.0,0.0,Chelsea,1.0,3.0,0,Mark Halsey,Chelsea,Sunderland,e15fafea-94ab-56bd-8311-f536ed5d7282,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,15ed81a0-eb7a-5abe-83b4-e9ec9fb7276c,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2012
2012,32,Chelsea,0.0,0.0,Sunderland,2.0,1.0,0,Neil Swarbrick,Chelsea,Sunderland,b909282c-71e1-53f9-957b-321dd682d45d,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,15ed81a0-eb7a-5abe-83b4-e9ec9fb7276c,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2012
2013,14,Sunderland,0.0,0.0,Chelsea,3.0,4.0,0,Phil Dowd,Chelsea,Sunderland,dca7c45f-b700-5f74-8e95-d20892ff286e,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,1a147c96-6739-5fdd-beff-896d41aaf070,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2013
2013,35,Chelsea,0.0,0.0,Sunderland,1.0,2.0,0,Mike Dean,Sunderland,Chelsea,3199d699-633e-5ad5-b5b9-ca5f08257c36,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,1a147c96-6739-5fdd-beff-896d41aaf070,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2013
2014,13,Sunderland,0.0,0.0,Chelsea,0.0,0.0,0,Kevin Friend,draw,draw,67c2fb20-0845-5a43-8952-475294f129cc,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,a3c8185e-b979-57fd-ac79-699faafa9b36,Sunderland,Chelsea,Chelsea_Sunderland,Chelsea_Sunderland_2014
2014,38,Chelsea,0.0,0.0,Sunderland,3.0,1.0,0,Lee Mason,Chelsea,Sunderland,67026346-c078-58e6-81fa-a52f4e1d2158,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,a3c8185e-b979-57fd-ac79-699faafa9b36,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2014
2015,17,Chelsea,0.0,0.0,Sunderland,3.0,1.0,0,Roger East,Chelsea,Sunderland,a3ef5034-9f89-5d7d-ad87-af601792997c,5c3c832c-4573-5b07-8ded-d28e1d4ae95b,ee8e7ad7-c4de-57d2-9b2a-dd695a1b30f1,Chelsea,Sunderland,Chelsea_Sunderland,Chelsea_Sunderland_2015
