season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,2,Manchester City,1.1,0.6,Everton,1.0,1.0,2017-08-21,0,draw,draw,668b63f8-a400-5fa5-978b-6a7fe15dc12a,ca5d66d5-1aac-5479-9844-76026e5ec092,76ce615b-5372-51e7-9156-34fc30019ec2,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2017
2017,32,Everton,0.9,1.5,Manchester City,1.0,3.0,2018-03-31,0,Manchester City,Everton,c2761f65-2aca-52fe-acd5-d93f61ca549e,ca5d66d5-1aac-5479-9844-76026e5ec092,76ce615b-5372-51e7-9156-34fc30019ec2,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2017
2018,17,Manchester City,1.7,1.5,Everton,3.0,1.0,2018-12-15,0,Manchester City,Everton,4904c00c-7c9d-5827-99a0-fab7a7629e53,ca5d66d5-1aac-5479-9844-76026e5ec092,336823ac-471c-5dc4-acc1-7252c55c42e6,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2018
2018,27,Everton,0.1,2.2,Manchester City,0.0,2.0,2019-02-06,0,Manchester City,Everton,0e9a9f41-426b-5160-843f-1fa204481696,ca5d66d5-1aac-5479-9844-76026e5ec092,336823ac-471c-5dc4-acc1-7252c55c42e6,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2018
2019,7,Everton,2.4,2.8,Manchester City,1.0,3.0,2019-09-28,0,Manchester City,Everton,ac0fb126-663d-5ba5-9244-4ecc26082c33,ca5d66d5-1aac-5479-9844-76026e5ec092,6cdef5d7-621e-5828-b95c-9e98cd7f384e,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2019
2019,21,Manchester City,1.5,1.0,Everton,2.0,1.0,2020-01-01,0,Manchester City,Everton,c9aa17e4-dcca-5b4e-bb7c-476cb8e3facd,ca5d66d5-1aac-5479-9844-76026e5ec092,6cdef5d7-621e-5828-b95c-9e98cd7f384e,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2019
2020,16,Everton,1.0,1.0,Manchester City,1.0,3.0,2021-02-17,0,Manchester City,Everton,704af66d-f3a2-56ae-9f1e-d282ea4c6f49,ca5d66d5-1aac-5479-9844-76026e5ec092,2648aefe-15ea-56db-a44c-0c8d9f990fbc,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2020
2020,38,Manchester City,2.5,1.1,Everton,5.0,0.0,2021-05-23,0,Manchester City,Everton,869ec649-9afc-533b-96be-c6dc97d01144,ca5d66d5-1aac-5479-9844-76026e5ec092,2648aefe-15ea-56db-a44c-0c8d9f990fbc,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2020
2021,12,Manchester City,2.5,0.2,Everton,3.0,0.0,2021-11-21,0,Manchester City,Everton,8017b482-fdfb-5a5c-8a86-2055f0f26f86,ca5d66d5-1aac-5479-9844-76026e5ec092,2ad0c9ae-6d2a-5d14-a109-6e2c719590a7,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2021
2021,27,Everton,0.5,1.8,Manchester City,0.0,1.0,2022-02-26,0,Manchester City,Everton,4898de56-6552-503e-80cb-ae1567a0de86,ca5d66d5-1aac-5479-9844-76026e5ec092,2ad0c9ae-6d2a-5d14-a109-6e2c719590a7,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2021
2022,18,Manchester City,1.7,0.1,Everton,1.0,1.0,2022-12-31,0,draw,draw,d6a6a691-548f-5e66-96b4-898dd2b2733b,ca5d66d5-1aac-5479-9844-76026e5ec092,bd049ccd-111b-57b1-9f67-9690e5a78135,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2022
2022,36,Everton,1.6,0.8,Manchester City,0.0,3.0,2023-05-14,0,Manchester City,Everton,9ea83033-8d46-5a22-97d5-6aaf62381010,ca5d66d5-1aac-5479-9844-76026e5ec092,bd049ccd-111b-57b1-9f67-9690e5a78135,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2022
1992,14,Everton,0.0,0.0,Manchester City,1.0,3.0,0,Joe Worrall,Manchester City,Everton,48fccf98-1b84-521d-8006-7899a93db46b,ca5d66d5-1aac-5479-9844-76026e5ec092,0906c88e-d0ca-56fb-a803-8fadffb3005f,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_1992
1992,42,Manchester City,0.0,0.0,Everton,2.0,5.0,0,Ken Redfern,Everton,Manchester City,7f1784eb-ac2c-5b70-b029-84eed1e7fec6,ca5d66d5-1aac-5479-9844-76026e5ec092,0906c88e-d0ca-56fb-a803-8fadffb3005f,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_1992
1993,2,Everton,0.0,0.0,Manchester City,1.0,0.0,0,Vic Callow,Everton,Manchester City,375bfb26-0110-5daa-85d3-ad0b132b07e4,ca5d66d5-1aac-5479-9844-76026e5ec092,ac95da3a-8f33-5fd6-9469-95e39568a430,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_1993
1993,19,Manchester City,0.0,0.0,Everton,1.0,0.0,0,Paul Durkin,Manchester City,Everton,339946da-a834-5ad2-847a-ac184df3edb3,ca5d66d5-1aac-5479-9844-76026e5ec092,ac95da3a-8f33-5fd6-9469-95e39568a430,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_1993
1994,3,Manchester City,0.0,0.0,Everton,4.0,0.0,0,Philip Don,Manchester City,Everton,9fd2e9e7-7de8-58be-8c00-fecfaef647fb,ca5d66d5-1aac-5479-9844-76026e5ec092,4201dcc8-5728-5d17-b6df-97f78cd85d71,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_1994
1994,34,Everton,0.0,0.0,Manchester City,1.0,1.0,0,Gary Willard,draw,draw,ef5617b4-c2e7-5c89-b7cf-d3e1bf9ef986,ca5d66d5-1aac-5479-9844-76026e5ec092,4201dcc8-5728-5d17-b6df-97f78cd85d71,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_1994
1995,4,Manchester City,0.0,0.0,Everton,0.0,2.0,0,Stephen Lodge,Everton,Manchester City,6a332380-bca8-5104-888c-1eec40d22ac1,ca5d66d5-1aac-5479-9844-76026e5ec092,57b0968d-97bc-530e-a231-6211c4563426,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_1995
1995,26,Everton,0.0,0.0,Manchester City,2.0,0.0,0,Paul Alcock,Everton,Manchester City,d70368e8-eaf2-5428-8d4a-694d686f1a13,ca5d66d5-1aac-5479-9844-76026e5ec092,57b0968d-97bc-530e-a231-6211c4563426,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_1995
2000,17,Manchester City,0.0,0.0,Everton,5.0,0.0,0,Stephen Bennett,Manchester City,Everton,a3433a6b-36ed-5194-9121-5fbbd7798fb7,ca5d66d5-1aac-5479-9844-76026e5ec092,359ea94a-68db-5817-9f04-5e94ff7696cb,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2000
2000,32,Everton,0.0,0.0,Manchester City,3.0,1.0,0,David Elleray,Everton,Manchester City,63872373-bdc8-50e6-a1ca-911030ff5e95,ca5d66d5-1aac-5479-9844-76026e5ec092,359ea94a-68db-5817-9f04-5e94ff7696cb,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2000
2002,4,Manchester City,0.0,0.0,Everton,3.0,1.0,0,Barry Knight,Manchester City,Everton,a1a9667e-1d64-53b7-a35e-bdc34aeb678f,ca5d66d5-1aac-5479-9844-76026e5ec092,12027fa5-3ea3-56d3-b8bf-28d57c58d7de,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2002
2002,22,Everton,0.0,0.0,Manchester City,2.0,2.0,0,Andy D'Urso,draw,draw,09c24305-513c-5fd6-9888-88e3e97c6c86,ca5d66d5-1aac-5479-9844-76026e5ec092,12027fa5-3ea3-56d3-b8bf-28d57c58d7de,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2002
2003,15,Everton,0.0,0.0,Manchester City,0.0,0.0,0,Jeff Winter,draw,draw,d29425ff-70dc-50fb-99bd-818a490e96c1,ca5d66d5-1aac-5479-9844-76026e5ec092,e250231e-05be-59bd-9be0-a9e3f683f024,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2003
2003,38,Manchester City,0.0,0.0,Everton,5.0,1.0,0,Steve Dunn,Manchester City,Everton,56769287-f41a-5518-84ee-787ebf7b9b9c,ca5d66d5-1aac-5479-9844-76026e5ec092,e250231e-05be-59bd-9be0-a9e3f683f024,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2003
2004,5,Manchester City,0.0,0.0,Everton,0.0,1.0,0,Stephen Bennett,Everton,Manchester City,8e3b10a0-b591-5d91-aac5-0a0c0224f7f6,ca5d66d5-1aac-5479-9844-76026e5ec092,9b1d92f7-7105-576e-b1d6-837a92e78e83,Manchester City,Everton,Everton_Manchester City,Everton_Manchester City_2004
2004,19,Everton,0.0,0.0,Manchester City,2.0,1.0,0,Phil Dowd,Everton,Manchester City,81ef8433-a05a-5eb3-8f16-1699a6b17774,ca5d66d5-1aac-5479-9844-76026e5ec092,9b1d92f7-7105-576e-b1d6-837a92e78e83,Everton,Manchester City,Everton_Manchester City,Everton_Manchester City_2004
