season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2018,13,Fulham,1.3,1.3,Southampton,3.0,2.0,2018-11-24,0,Fulham,Southampton,0969e406-2aab-593b-9006-ba9307484fe0,94fb7c25-682c-54b2-b5f5-021c2996927c,46dcac16-574f-5990-9ad7-a6e424fdbf34,Fulham,Southampton,Fulham_Southampton,Fulham_Southampton_2018
2018,28,Southampton,1.3,0.8,Fulham,2.0,0.0,2019-02-27,0,Southampton,Fulham,6d2d1cb6-48d1-5abe-97dd-323c84d3464b,94fb7c25-682c-54b2-b5f5-021c2996927c,46dcac16-574f-5990-9ad7-a6e424fdbf34,Southampton,Fulham,Fulham_Southampton,Fulham_Southampton_2018
2020,15,Fulham,0.7,0.2,Southampton,0.0,0.0,2020-12-26,0,draw,draw,9b107a55-bacb-522f-ba77-774b2d9ce020,94fb7c25-682c-54b2-b5f5-021c2996927c,06d183a5-f62d-5bfb-bd89-86180fe6da89,Fulham,Southampton,Fulham_Southampton,Fulham_Southampton_2020
2020,36,Southampton,1.6,0.8,Fulham,3.0,1.0,2021-05-15,0,Southampton,Fulham,175531d0-1e53-586f-833d-d1b8c1858831,94fb7c25-682c-54b2-b5f5-021c2996927c,06d183a5-f62d-5bfb-bd89-86180fe6da89,Southampton,Fulham,Fulham_Southampton,Fulham_Southampton_2020
2022,18,Fulham,1.5,0.8,Southampton,2.0,1.0,2022-12-31,0,Fulham,Southampton,9f911282-1024-56ec-aca5-4c2aa61280cc,94fb7c25-682c-54b2-b5f5-021c2996927c,57f5445c-26c7-5d8e-8941-3e434f8e5610,Fulham,Southampton,Fulham_Southampton,Fulham_Southampton_2022
2022,36,Southampton,0.4,1.4,Fulham,0.0,2.0,2023-05-13,0,Fulham,Southampton,270077a2-6bc9-5647-aab0-83198a76c325,94fb7c25-682c-54b2-b5f5-021c2996927c,57f5445c-26c7-5d8e-8941-3e434f8e5610,Southampton,Fulham,Fulham_Southampton,Fulham_Southampton_2022
2001,11,Fulham,0.0,0.0,Southampton,2.0,1.0,0,Andy D'Urso,Fulham,Southampton,746e1414-a17c-5db9-99dc-5483c593d6a1,94fb7c25-682c-54b2-b5f5-021c2996927c,f0463fde-c559-526c-be61-5ad80904ac57,Fulham,Southampton,Fulham_Southampton,Fulham_Southampton_2001
2001,32,Southampton,0.0,0.0,Fulham,1.0,1.0,0,Jeff Winter,draw,draw,6d6b633e-88e8-54fe-8b21-c6f14931161f,94fb7c25-682c-54b2-b5f5-021c2996927c,f0463fde-c559-526c-be61-5ad80904ac57,Southampton,Fulham,Fulham_Southampton,Fulham_Southampton_2001
2002,11,Southampton,0.0,0.0,Fulham,4.0,2.0,0,Barry Knight,Southampton,Fulham,65ec9e64-1f56-5618-80ae-f835b58cb762,94fb7c25-682c-54b2-b5f5-021c2996927c,cb53cbf6-00f3-58cf-92d8-c4dce461e6d3,Southampton,Fulham,Fulham_Southampton,Fulham_Southampton_2002
2002,30,Fulham,0.0,0.0,Southampton,2.0,2.0,0,Paul Durkin,draw,draw,9f1b5922-4e7d-5e0e-b7e4-65531c77bee7,94fb7c25-682c-54b2-b5f5-021c2996927c,cb53cbf6-00f3-58cf-92d8-c4dce461e6d3,Fulham,Southampton,Fulham_Southampton,Fulham_Southampton_2002
2003,18,Fulham,0.0,0.0,Southampton,2.0,0.0,0,Dermot Gallagher,Fulham,Southampton,d9c0df3c-7a29-53ab-935c-5aeb6b72ae8e,94fb7c25-682c-54b2-b5f5-021c2996927c,743f1eb4-6652-5508-9605-cce6e864ce16,Fulham,Southampton,Fulham_Southampton,Fulham_Southampton_2003
2003,24,Southampton,0.0,0.0,Fulham,0.0,0.0,0,Andy D'Urso,draw,draw,8a4b5607-5285-509b-9bb4-e358cc51c5ea,94fb7c25-682c-54b2-b5f5-021c2996927c,743f1eb4-6652-5508-9605-cce6e864ce16,Southampton,Fulham,Fulham_Southampton,Fulham_Southampton_2003
2004,7,Fulham,0.0,0.0,Southampton,1.0,0.0,0,Graham Poll,Fulham,Southampton,a550a883-9c47-5f9b-8920-24b1ba23c8a3,94fb7c25-682c-54b2-b5f5-021c2996927c,2913b1b1-c1c5-5155-a511-47b8e693bb2d,Fulham,Southampton,Fulham_Southampton,Fulham_Southampton_2004
2004,22,Southampton,0.0,0.0,Fulham,3.0,3.0,0,Graham Poll,draw,draw,8f41f952-d0c1-54ac-adc1-4ed3291a8fc7,94fb7c25-682c-54b2-b5f5-021c2996927c,2913b1b1-c1c5-5155-a511-47b8e693bb2d,Southampton,Fulham,Fulham_Southampton,Fulham_Southampton_2004
2012,7,Southampton,0.0,0.0,Fulham,2.0,2.0,0,Mark Clattenburg,draw,draw,b19d7aeb-e87f-5d0d-80f8-cf35cf99383a,94fb7c25-682c-54b2-b5f5-021c2996927c,6e0ae6d8-448c-5b41-a1fe-e96b9601d4b4,Southampton,Fulham,Fulham_Southampton,Fulham_Southampton_2012
2012,19,Fulham,0.0,0.0,Southampton,1.0,1.0,0,Phil Dowd,draw,draw,8c866744-4c07-5f00-9818-e831b44f0f2c,94fb7c25-682c-54b2-b5f5-021c2996927c,6e0ae6d8-448c-5b41-a1fe-e96b9601d4b4,Fulham,Southampton,Fulham_Southampton,Fulham_Southampton_2012
2013,9,Southampton,0.0,0.0,Fulham,2.0,0.0,0,Andre Marriner,Southampton,Fulham,87adc12d-7a0b-51fa-905d-482f08731449,94fb7c25-682c-54b2-b5f5-021c2996927c,bacccb70-abae-5065-8ebb-93d663530cf3,Southampton,Fulham,Fulham_Southampton,Fulham_Southampton_2013
2013,24,Fulham,0.0,0.0,Southampton,0.0,3.0,0,Mike Jones,Southampton,Fulham,ec6803d4-cfc0-56b3-af99-9b70f3cf8220,94fb7c25-682c-54b2-b5f5-021c2996927c,bacccb70-abae-5065-8ebb-93d663530cf3,Fulham,Southampton,Fulham_Southampton,Fulham_Southampton_2013
