season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,0,Manchester City,Liverpool,caf31119-d22e-5d39-baa9-d038bf2af19d,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,d1a0888e-dd3b-5469-9d69-dc2faffd0710,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2017
2017,23,Liverpool,0.8,0.8,Manchester City,4.0,3.0,2018-01-14,0,Liverpool,Manchester City,f12470e9-470d-5996-88f5-38ff35a09674,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,d1a0888e-dd3b-5469-9d69-dc2faffd0710,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2017
2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,0,draw,draw,6026d937-3966-524a-8a87-15bb1366ec2b,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,4aa38808-3ad1-571a-b886-4f84e447c353,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2018
2018,21,Manchester City,1.1,1.5,Liverpool,2.0,1.0,2019-01-03,0,Manchester City,Liverpool,bc0fb421-d68a-5594-83e1-e1286a4315d9,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,4aa38808-3ad1-571a-b886-4f84e447c353,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2018
2019,12,Liverpool,1.1,1.3,Manchester City,3.0,1.0,2019-11-10,0,Liverpool,Manchester City,3c1f4b94-04a8-5a38-ab2b-3a7ae308a827,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,fe7c5e3f-790c-569d-9f2b-01efad7eaf4a,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2019
2019,32,Manchester City,2.4,1.1,Liverpool,4.0,0.0,2020-07-02,0,Manchester City,Liverpool,6f8a1b54-aaeb-5b9c-b3fa-0b296cf0354c,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,fe7c5e3f-790c-569d-9f2b-01efad7eaf4a,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2019
2020,8,Manchester City,1.4,1.2,Liverpool,1.0,1.0,2020-11-08,0,draw,draw,f6179532-ccd1-57b9-b327-797c6114e0c1,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,4f94e2e3-4264-550a-b7bc-1669b154f42c,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2020
2020,23,Liverpool,1.2,3.5,Manchester City,1.0,4.0,2021-02-07,0,Manchester City,Liverpool,61f51b37-19b2-50e7-bdd3-bc5360939bdc,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,4f94e2e3-4264-550a-b7bc-1669b154f42c,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2020
2021,7,Liverpool,0.9,1.2,Manchester City,2.0,2.0,2021-10-03,0,draw,draw,b70df516-ff0b-5639-8e3b-7a0055beac86,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,5f864eb0-2395-59cf-8c3f-2c462edd480c,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2021
2021,32,Manchester City,1.3,1.3,Liverpool,2.0,2.0,2022-04-10,0,draw,draw,0e78368b-84d5-56ee-8898-cf61f2ddaf8f,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,5f864eb0-2395-59cf-8c3f-2c462edd480c,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2021
2022,11,Liverpool,2.1,1.0,Manchester City,1.0,0.0,2022-10-16,0,Liverpool,Manchester City,179a38b3-dcb0-566e-896c-6eb988a1450f,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,0f44ff9f-3f65-5d0d-bfa8-2590606640ea,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2022
2022,29,Manchester City,2.9,0.3,Liverpool,4.0,1.0,2023-04-01,0,Manchester City,Liverpool,fe1eed2c-6971-5fe4-b932-6258170f3b29,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,0f44ff9f-3f65-5d0d-bfa8-2590606640ea,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2022
1992,22,Liverpool,0.0,0.0,Manchester City,1.0,1.0,0,David Allison,draw,draw,49728d05-202e-5ed7-8a9e-b239d6c5534d,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,5bc14ae1-1584-5c60-b0b1-d2dcb8b5c752,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_1992
1992,39,Manchester City,0.0,0.0,Liverpool,1.0,1.0,0,Mike Reed,draw,draw,3f60957b-e9eb-50f7-b41b-865d6a2691ab,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,5bc14ae1-1584-5c60-b0b1-d2dcb8b5c752,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_1992
1993,12,Manchester City,0.0,0.0,Liverpool,1.0,1.0,0,Martin Bodenham,draw,draw,e92d9f69-e896-5f6e-a233-1882b1f9994b,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,5f3a7ad0-76fb-5dba-ae29-ce85f3536164,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_1993
1993,27,Liverpool,0.0,0.0,Manchester City,2.0,1.0,0,Roger Milford,Liverpool,Manchester City,22098259-6885-5e51-9343-01dec2e96429,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,5f3a7ad0-76fb-5dba-ae29-ce85f3536164,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_1993
1994,21,Liverpool,0.0,0.0,Manchester City,2.0,0.0,0,Robbie Hart,Liverpool,Manchester City,464d5c10-c700-586b-8462-122998666a11,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,e9b64965-3247-56a4-b273-3cca2dbea1c3,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_1994
1994,38,Manchester City,0.0,0.0,Liverpool,2.0,1.0,0,Joe Worrall,Manchester City,Liverpool,4803206d-3e3f-51e4-8459-768998f4e0f6,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,e9b64965-3247-56a4-b273-3cca2dbea1c3,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_1994
1995,11,Liverpool,0.0,0.0,Manchester City,6.0,0.0,0,Alan Wilkie,Liverpool,Manchester City,7b1e921d-8e51-572d-9f88-91409b4dcfd5,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,e8aea82c-8252-5ecb-a4d1-df959e9a4cc6,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_1995
1995,38,Manchester City,0.0,0.0,Liverpool,2.0,2.0,0,Stephen Lodge,draw,draw,d60df0e4-b364-58ca-ace2-a09570f23aa8,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,e8aea82c-8252-5ecb-a4d1-df959e9a4cc6,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_1995
2000,5,Liverpool,0.0,0.0,Manchester City,3.0,2.0,0,Graham Barber,Liverpool,Manchester City,aa570baa-0282-5033-845e-178c193e4a8b,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,c32c2b2a-e48e-5b80-8f65-53b771416457,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2000
2000,25,Manchester City,0.0,0.0,Liverpool,1.0,1.0,0,Peter Jones,draw,draw,70f046fc-2fd6-561a-ab5f-69c02950a72c,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,c32c2b2a-e48e-5b80-8f65-53b771416457,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2000
2002,8,Manchester City,0.0,0.0,Liverpool,0.0,3.0,0,Paul Durkin,Liverpool,Manchester City,b67ef4db-95b0-56c5-b51e-b68b3f4630d6,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,8260fc60-4519-5e77-89f5-41de94c40e13,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2002
2002,37,Liverpool,0.0,0.0,Manchester City,1.0,2.0,0,Neale Barry,Manchester City,Liverpool,d3888243-4299-5977-8e97-2854ebe242d5,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,8260fc60-4519-5e77-89f5-41de94c40e13,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2002
2003,19,Manchester City,0.0,0.0,Liverpool,2.0,2.0,0,Mike Riley,draw,draw,d455a033-7970-5269-b6fb-3ce7de6d2c5e,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,5f21d1ea-9452-578b-b624-092c5dc1c9bd,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2003
2003,25,Liverpool,0.0,0.0,Manchester City,2.0,1.0,0,Mike Riley,Liverpool,Manchester City,01b813fa-95cb-50b6-8754-caa78f185a8d,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,5f21d1ea-9452-578b-b624-092c5dc1c9bd,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2003
2004,2,Liverpool,0.0,0.0,Manchester City,2.0,1.0,0,Graham Poll,Liverpool,Manchester City,6cc00109-b5e4-51f5-bac4-6d47b58ea0dd,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,d642e82d-fbbe-5c7c-a4ad-fad302daed86,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2004
2004,32,Manchester City,0.0,0.0,Liverpool,1.0,0.0,0,Mike Riley,Manchester City,Liverpool,4b91c60e-1736-56bd-b9d1-9db90a38d94a,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,d642e82d-fbbe-5c7c-a4ad-fad302daed86,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2004
2005,14,Manchester City,0.0,0.0,Liverpool,0.0,1.0,0,Alan Wiley,Liverpool,Manchester City,4bd9c16e-7564-5e49-bf3f-8e2fd1795bd0,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,18f48c22-98de-5b12-a45a-6b76b292cfa0,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2005
2005,27,Liverpool,0.0,0.0,Manchester City,1.0,0.0,0,Dermot Gallagher,Liverpool,Manchester City,c28b1852-a482-5011-a03b-50e0f196340c,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,18f48c22-98de-5b12-a45a-6b76b292cfa0,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2005
2006,14,Liverpool,0.0,0.0,Manchester City,1.0,0.0,0,Rob Styles,Liverpool,Manchester City,53fc2253-f41f-5875-96a1-5f5c755a4c09,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,0831d378-f687-5e94-928d-2cc07062d198,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2006
2006,34,Manchester City,0.0,0.0,Liverpool,0.0,0.0,0,Uriah Rennie,draw,draw,6d684e2f-b782-5bb0-a130-2dd6f760999d,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,0831d378-f687-5e94-928d-2cc07062d198,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2006
2007,20,Manchester City,0.0,0.0,Liverpool,0.0,0.0,0,Uriah Rennie,draw,draw,7df7e7d9-9b43-591d-84d1-569c646ca7da,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,13a1eae1-b608-5ffe-9b71-718ff36b6e9e,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2007
2007,37,Liverpool,0.0,0.0,Manchester City,1.0,0.0,0,Mark Halsey,Liverpool,Manchester City,18495e70-0a6d-521f-a689-c39d40b81406,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,13a1eae1-b608-5ffe-9b71-718ff36b6e9e,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2007
2008,7,Manchester City,0.0,0.0,Liverpool,2.0,3.0,0,Peter Walton,Liverpool,Manchester City,58ab2647-7f3e-56d5-a55a-7eeec19aaf93,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,6602f481-0d65-5420-b9f5-f8719837248d,Manchester City,Liverpool,Liverpool_Manchester City,Liverpool_Manchester City_2008
2008,26,Liverpool,0.0,0.0,Manchester City,1.0,1.0,0,Phil Dowd,draw,draw,84b3c05b-50f5-559c-85c4-9b1c60f230be,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,6602f481-0d65-5420-b9f5-f8719837248d,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2008
2009,13,Liverpool,0.0,0.0,Manchester City,2.0,2.0,0,Phil Dowd,draw,draw,846cf52b-fe8a-59a7-8602-8705edfe36c9,ec572f7e-e6dd-5dde-a333-be9159a1f3e8,1ee9f4a5-4a37-56a2-98bd-c19b6841c4ba,Liverpool,Manchester City,Liverpool_Manchester City,Liverpool_Manchester City_2009
