season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,10,West Brom,1.5,2.3,Manchester City,2.0,3.0,2017-10-28,0,Manchester City,West Brom,258dde67-53c6-51d8-b957-a6281a3b7b3f,70520c1a-703a-5e92-a985-1a1b58b1672a,9c3f35d1-9cb1-5684-850c-4820e883d63f,West Brom,Manchester City,Manchester City_West Brom,Manchester City_West Brom_2017
2017,25,Manchester City,2.3,0.2,West Brom,3.0,0.0,2018-01-31,0,Manchester City,West Brom,570c9f4e-4dfb-5cb3-8d1c-6b1c91d0027b,70520c1a-703a-5e92-a985-1a1b58b1672a,9c3f35d1-9cb1-5684-850c-4820e883d63f,Manchester City,West Brom,Manchester City_West Brom,Manchester City_West Brom_2017
2020,13,Manchester City,2.2,0.4,West Brom,1.0,1.0,2020-12-15,0,draw,draw,9205fdee-9a5e-567c-8342-30189d7fb3c6,70520c1a-703a-5e92-a985-1a1b58b1672a,52cbbf2b-7f6c-561c-9e1b-b1530221b117,Manchester City,West Brom,Manchester City_West Brom,Manchester City_West Brom_2020
2020,20,West Brom,0.5,1.8,Manchester City,0.0,5.0,2021-01-26,0,Manchester City,West Brom,f6b7dbb1-cf68-5eae-a0e9-36cdf5cf8d21,70520c1a-703a-5e92-a985-1a1b58b1672a,52cbbf2b-7f6c-561c-9e1b-b1530221b117,West Brom,Manchester City,Manchester City_West Brom,Manchester City_West Brom_2020
2002,12,West Brom,0.0,0.0,Manchester City,1.0,2.0,0,David Elleray,Manchester City,West Brom,695db685-b8ae-50e5-86ff-d8a59a0f7124,70520c1a-703a-5e92-a985-1a1b58b1672a,5c5c92e5-cee9-5077-8b1d-df22c06eb616,West Brom,Manchester City,Manchester City_West Brom,Manchester City_West Brom_2002
2002,26,Manchester City,0.0,0.0,West Brom,1.0,2.0,0,Neale Barry,West Brom,Manchester City,89468150-2350-55d5-9a83-17360c265215,70520c1a-703a-5e92-a985-1a1b58b1672a,5c5c92e5-cee9-5077-8b1d-df22c06eb616,Manchester City,West Brom,Manchester City_West Brom,Manchester City_West Brom_2002
2004,20,Manchester City,0.0,0.0,West Brom,1.0,1.0,0,Andy D'Urso,draw,draw,f44bef5b-2998-5ebd-8390-dd13fb720f06,70520c1a-703a-5e92-a985-1a1b58b1672a,ad1deeda-67cf-54ef-be39-48f9d84ab168,Manchester City,West Brom,Manchester City_West Brom,Manchester City_West Brom_2004
2004,24,West Brom,0.0,0.0,Manchester City,2.0,0.0,0,Graham Poll,West Brom,Manchester City,1db2b1e2-2999-5faa-bb7c-21925085038d,70520c1a-703a-5e92-a985-1a1b58b1672a,ad1deeda-67cf-54ef-be39-48f9d84ab168,West Brom,Manchester City,Manchester City_West Brom,Manchester City_West Brom_2004
2005,1,Manchester City,0.0,0.0,West Brom,0.0,0.0,0,Chris Foy,draw,draw,0a32e870-6f1b-57bc-88e5-e250230994a1,70520c1a-703a-5e92-a985-1a1b58b1672a,aeb12fd7-8e0a-5e1f-b5da-66df8a2a935a,Manchester City,West Brom,Manchester City_West Brom,Manchester City_West Brom_2005
2005,16,West Brom,0.0,0.0,Manchester City,2.0,0.0,0,Mike Dean,West Brom,Manchester City,38e02ceb-ce65-5861-a776-29912b34733b,70520c1a-703a-5e92-a985-1a1b58b1672a,aeb12fd7-8e0a-5e1f-b5da-66df8a2a935a,West Brom,Manchester City,Manchester City_West Brom,Manchester City_West Brom_2005
2008,18,West Brom,0.0,0.0,Manchester City,2.0,1.0,0,Chris Foy,West Brom,Manchester City,830a6093-767b-55d9-a80b-f948657a0066,70520c1a-703a-5e92-a985-1a1b58b1672a,479a7b37-0e97-5da5-b05e-e2810b6f8807,West Brom,Manchester City,Manchester City_West Brom,Manchester City_West Brom_2008
2008,33,Manchester City,0.0,0.0,West Brom,4.0,2.0,0,Mike Jones,Manchester City,West Brom,fa60c0d6-7196-5b53-a487-4a7ffcdf4e95,70520c1a-703a-5e92-a985-1a1b58b1672a,479a7b37-0e97-5da5-b05e-e2810b6f8807,Manchester City,West Brom,Manchester City_West Brom,Manchester City_West Brom_2008
2010,11,West Brom,0.0,0.0,Manchester City,0.0,2.0,0,Lee Probert,Manchester City,West Brom,5a3b35bf-0e2c-5cf2-8d73-3febe76cabb0,70520c1a-703a-5e92-a985-1a1b58b1672a,f6de5d1b-2d42-580f-aa11-ad70184f894d,West Brom,Manchester City,Manchester City_West Brom,Manchester City_West Brom_2010
2010,26,Manchester City,0.0,0.0,West Brom,3.0,0.0,0,Martin Atkinson,Manchester City,West Brom,a4ed5fe6-e848-55e8-ad21-323a89c2f657,70520c1a-703a-5e92-a985-1a1b58b1672a,f6de5d1b-2d42-580f-aa11-ad70184f894d,Manchester City,West Brom,Manchester City_West Brom,Manchester City_West Brom_2010
