season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,15,Manchester City,2.3,0.6,West Ham,2.0,1.0,2017-12-03,0,Manchester City,West Ham,3b87659a-a5fa-55b4-ae7a-f0978efd9923,3ca3bebf-a995-55f9-b4f5-d25f2165e108,a585872e-df6d-596a-92b3-e49a10477345,Manchester City,West Ham,Manchester City_West Ham,Manchester City_West Ham_2017
2017,36,West Ham,0.2,2.4,Manchester City,1.0,4.0,2018-04-29,0,Manchester City,West Ham,5524c16d-022c-5c19-9c52-e3f9d81e60b4,3ca3bebf-a995-55f9-b4f5-d25f2165e108,a585872e-df6d-596a-92b3-e49a10477345,West Ham,Manchester City,Manchester City_West Ham,Manchester City_West Ham_2017
2018,13,West Ham,0.9,2.7,Manchester City,0.0,4.0,2018-11-24,0,Manchester City,West Ham,bca7fe60-279d-556e-b012-277eec863440,3ca3bebf-a995-55f9-b4f5-d25f2165e108,b2fb6833-4294-5c8d-ba93-11186501009c,West Ham,Manchester City,Manchester City_West Ham,Manchester City_West Ham_2018
2018,28,Manchester City,3.5,0.4,West Ham,1.0,0.0,2019-02-27,0,Manchester City,West Ham,4794de52-eade-5e55-b592-4ec997a39bb7,3ca3bebf-a995-55f9-b4f5-d25f2165e108,b2fb6833-4294-5c8d-ba93-11186501009c,Manchester City,West Ham,Manchester City_West Ham,Manchester City_West Ham_2018
2019,1,West Ham,1.1,3.2,Manchester City,0.0,5.0,2019-08-10,0,Manchester City,West Ham,65a8ffc9-8b19-5a50-b658-e57fce6bdb5f,3ca3bebf-a995-55f9-b4f5-d25f2165e108,decfa42f-71c3-59b4-9ac8-a435e787cbc8,West Ham,Manchester City,Manchester City_West Ham,Manchester City_West Ham_2019
2019,26,Manchester City,2.1,0.1,West Ham,2.0,0.0,2020-02-19,0,Manchester City,West Ham,ba781c54-4027-573e-9da9-68bd4bd0d01d,3ca3bebf-a995-55f9-b4f5-d25f2165e108,decfa42f-71c3-59b4-9ac8-a435e787cbc8,Manchester City,West Ham,Manchester City_West Ham,Manchester City_West Ham_2019
2020,6,West Ham,0.3,1.0,Manchester City,1.0,1.0,2020-10-24,0,draw,draw,ea4f6eac-d378-59b0-968e-735ed04dba7e,3ca3bebf-a995-55f9-b4f5-d25f2165e108,5897b2b6-8126-5d71-8c16-af0189b88767,West Ham,Manchester City,Manchester City_West Ham,Manchester City_West Ham_2020
2020,26,Manchester City,0.5,1.5,West Ham,2.0,1.0,2021-02-27,0,Manchester City,West Ham,094cca6f-5163-5f34-8b37-750ce1e510fc,3ca3bebf-a995-55f9-b4f5-d25f2165e108,5897b2b6-8126-5d71-8c16-af0189b88767,Manchester City,West Ham,Manchester City_West Ham,Manchester City_West Ham_2020
2021,13,Manchester City,2.1,0.2,West Ham,2.0,1.0,2021-11-28,0,Manchester City,West Ham,e8f8e4e0-7c13-529f-9e56-161d4fd70b79,3ca3bebf-a995-55f9-b4f5-d25f2165e108,803ce8d4-e007-53a6-978e-f680b94510ff,Manchester City,West Ham,Manchester City_West Ham,Manchester City_West Ham_2021
2021,37,West Ham,1.1,2.4,Manchester City,2.0,2.0,2022-05-15,0,draw,draw,1d7e11d1-2a53-58d5-b5a8-7f7077598be0,3ca3bebf-a995-55f9-b4f5-d25f2165e108,803ce8d4-e007-53a6-978e-f680b94510ff,West Ham,Manchester City,Manchester City_West Ham,Manchester City_West Ham_2021
