season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2017,13,Tottenham,1.8,0.7,West Brom,1.0,1.0,2017-11-25,0,draw,draw,df738193-f23b-5d24-b502-a8edff7d3419,be557923-47f2-5dec-869b-0782ce22f3f6,c6665b7b-0f10-5a85-bf81-2d7e73c1a888,Tottenham,West Brom,Tottenham_West Brom,Tottenham_West Brom_2017
2017,37,West Brom,1.6,1.2,Tottenham,1.0,0.0,2018-05-05,0,West Brom,Tottenham,adecac86-7aa6-59a1-bfc7-35598595fa37,be557923-47f2-5dec-869b-0782ce22f3f6,c6665b7b-0f10-5a85-bf81-2d7e73c1a888,West Brom,Tottenham,Tottenham_West Brom,Tottenham_West Brom_2017
2020,8,West Brom,0.8,1.9,Tottenham,0.0,1.0,2020-11-08,0,Tottenham,West Brom,0034cb3b-ec32-52cc-a91e-7f5796b49288,be557923-47f2-5dec-869b-0782ce22f3f6,85caed40-e682-5738-977e-3e090e791a93,West Brom,Tottenham,Tottenham_West Brom,Tottenham_West Brom_2020
2020,23,Tottenham,1.5,0.6,West Brom,2.0,0.0,2021-02-07,0,Tottenham,West Brom,59de058f-0d43-5951-ba7e-1bcf5508d896,be557923-47f2-5dec-869b-0782ce22f3f6,85caed40-e682-5738-977e-3e090e791a93,Tottenham,West Brom,Tottenham_West Brom,Tottenham_West Brom_2020
2002,17,Tottenham,0.0,0.0,West Brom,3.0,1.0,0,Alan Wiley,Tottenham,West Brom,77ccf915-73a5-5e7c-b2f4-7b86adf8079e,be557923-47f2-5dec-869b-0782ce22f3f6,f2d935c8-b045-54f1-b847-afceb77bcba1,Tottenham,West Brom,Tottenham_West Brom,Tottenham_West Brom_2002
2002,35,West Brom,0.0,0.0,Tottenham,2.0,3.0,0,Phil Dowd,Tottenham,West Brom,0b052505-6302-5d74-aad8-ceafaee372da,be557923-47f2-5dec-869b-0782ce22f3f6,f2d935c8-b045-54f1-b847-afceb77bcba1,West Brom,Tottenham,Tottenham_West Brom,Tottenham_West Brom_2002
2004,3,West Brom,0.0,0.0,Tottenham,1.0,1.0,0,Barry Knight,draw,draw,27294cd7-d078-541e-824d-bf4b3fcc91ae,be557923-47f2-5dec-869b-0782ce22f3f6,f9c3290a-a663-5b0f-9932-b1b4debccc68,West Brom,Tottenham,Tottenham_West Brom,Tottenham_West Brom_2004
2004,34,Tottenham,0.0,0.0,West Brom,1.0,1.0,0,Chris Foy,draw,draw,865a3d22-f65c-5129-8444-d4088cad05e0,be557923-47f2-5dec-869b-0782ce22f3f6,f9c3290a-a663-5b0f-9932-b1b4debccc68,Tottenham,West Brom,Tottenham_West Brom,Tottenham_West Brom_2004
2005,19,West Brom,0.0,0.0,Tottenham,2.0,0.0,0,Mike Riley,West Brom,Tottenham,0748863d-8474-5dca-9641-eff2c07ba7f5,be557923-47f2-5dec-869b-0782ce22f3f6,23b776f0-28ec-5ee5-92c5-efd7ee588d4d,West Brom,Tottenham,Tottenham_West Brom,Tottenham_West Brom_2005
2005,31,Tottenham,0.0,0.0,West Brom,2.0,1.0,0,Chris Foy,Tottenham,West Brom,64a7311a-017f-5df9-a376-06887665e0eb,be557923-47f2-5dec-869b-0782ce22f3f6,23b776f0-28ec-5ee5-92c5-efd7ee588d4d,Tottenham,West Brom,Tottenham_West Brom,Tottenham_West Brom_2005
