matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,Tammy Abraham,ENG,22.0,72.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,26.0,1.0,0.0,0.0,0.9,0.9,0.0,1.0,0.0,10.0,16.0,62.5,1.0,11.0,0.0,2.0,0.0,92.0,8.0,8.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,19.0,3.0,26.0,0.0,2.0,100.0,43.0,15.0,1.0,0.0,4.0,1.0,19.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,66.7,True,2019-2020,FW,None,None,None,0.8,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,27.5,1.25,0.0,0.0,0.0,3.75,1.25,0.0,0.0,32.5,1.25,0.0,0.0,1.125,1.125,0.0,1.25,0.0,12.5,20.0,78.125,1.25,13.75,0.0,2.5,0.0,115.0,10.0,10.0,12.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,1.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.25,0.0,0.0,1.25,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,8.75,23.75,3.75,32.5,0.0,2.5,125.0,53.75,18.75,1.25,0.0,5.0,1.25,23.75,6.25,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.0,2.5,83.375,1.0,2.125,1.0,2.5,1.25,100.0
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,Michy Batshuayi,BEL,26.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.2,0.2,0.0,1.0,1.0,4.0,5.0,80.0,0.0,8.0,0.0,1.0,0.0,66.0,2.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,10.0,0.0,1.0,100.0,28.0,4.0,0.0,0.0,2.0,1.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0,True,2019-2020,FW,None,None,None,0.2,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,130.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,50.0,5.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,20.0,25.0,400.0,0.0,40.0,0.0,5.0,0.0,330.0,10.0,5.0,10.0,250.0,10.0,10.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,30.0,25.0,10.0,50.0,0.0,5.0,500.0,140.0,20.0,0.0,0.0,10.0,5.0,40.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,500.0,1.0,8.5,4.0,10.0,5.0,400.0
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,Christian Pulisic,USA,21.0,79.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,46.0,0.0,0.0,0.0,1.6,1.6,0.2,7.0,0.0,23.0,35.0,65.7,3.0,31.0,5.0,7.0,6.0,300.0,37.0,18.0,24.0,75.0,4.0,7.0,57.1,1.0,2.0,50.0,0.2,3.0,0.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,33.0,10.0,46.0,85.7,1.0,14.3,245.0,127.0,3.0,2.0,2.0,3.0,38.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7,True,2019-2020,LW,None,None,None,0.8777777777777778,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,23.924050632911392,1.139240506329114,0.0,0.0,0.0,6.8354430379746836,3.4177215189873418,0.0,0.0,52.40506329113924,0.0,0.0,0.0,1.8227848101265824,1.8227848101265824,0.2278481012658228,7.974683544303797,0.0,26.20253164556962,39.87341772151899,74.84810126582279,3.4177215189873418,35.31645569620253,5.69620253164557,7.974683544303797,6.8354430379746836,341.7721518987342,42.151898734177216,20.50632911392405,27.341772151898734,85.44303797468355,4.556962025316456,7.974683544303797,65.05063291139241,1.139240506329114,2.278481012658228,56.962025316455694,0.2278481012658228,3.4177215189873418,0.0,2.278481012658228,0.0,39.87341772151899,0.0,0.0,0.0,0.0,2.278481012658228,0.0,0.0,0.0,0.0,0.0,0.0,2.278481012658228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139240506329114,0.0,0.0,2.278481012658228,12.531645569620252,37.59493670886076,11.39240506329114,52.40506329113924,97.63291139240506,1.139240506329114,16.29113924050633,279.11392405063293,144.68354430379748,3.4177215189873418,2.278481012658228,2.278481012658228,3.4177215189873418,43.29113924050633,20.50632911392405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.556962025316456,2.278481012658228,1.139240506329114,75.98734177215191,1.0,1.9367088607594936,0.9113924050632912,2.278481012658228,1.139240506329114,91.13924050632912
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,Callum Hudson-Odoi,ENG,19.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,2.0,1.0,0.0,0.0,74.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,47.0,43.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2019-2020,LW,None,None,None,0.12222222222222222,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,155.45454545454547,0.0,0.0,0.0,0.0,8.181818181818182,0.0,0.0,0.0,40.909090909090914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.545454545454547,32.72727272727273,613.6363636363636,0.0,16.363636363636363,8.181818181818182,0.0,0.0,605.4545454545455,0.0,0.0,8.181818181818182,0.0,16.363636363636363,16.363636363636363,818.1818181818182,8.181818181818182,8.181818181818182,818.1818181818182,0.0,0.0,0.0,0.0,0.0,24.545454545454547,8.181818181818182,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.363636363636363,24.545454545454547,0.0,40.909090909090914,0.0,0.0,0.0,384.54545454545456,351.8181818181818,8.181818181818182,0.0,0.0,0.0,32.72727272727273,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.90909090909091,6.545454545454546,16.363636363636363,8.181818181818182,654.5454545454546
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,Willian,BRA,31.0,90.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,60.0,3.0,1.0,1.0,0.6,0.6,1.3,10.0,1.0,40.0,48.0,83.3,6.0,35.0,9.0,1.0,0.0,672.0,154.0,20.0,22.0,90.9,12.0,13.0,92.3,6.0,11.0,54.5,0.1,4.0,4.0,2.0,0.0,38.0,10.0,4.0,0.0,0.0,8.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,4.0,2.0,0.0,0.0,5.0,18.0,39.0,4.0,60.0,0.0,1.0,100.0,366.0,216.0,10.0,2.0,1.0,0.0,35.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,True,2019-2020,RW,None,None,None,1.0,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,31.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,60.0,3.0,1.0,1.0,0.6,0.6,1.3,10.0,1.0,40.0,48.0,83.3,6.0,35.0,9.0,1.0,0.0,672.0,154.0,20.0,22.0,90.9,12.0,13.0,92.3,6.0,11.0,54.5,0.1,4.0,4.0,2.0,0.0,38.0,10.0,4.0,0.0,0.0,8.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,4.0,2.0,0.0,0.0,5.0,18.0,39.0,4.0,60.0,0.0,1.0,100.0,366.0,216.0,10.0,2.0,1.0,0.0,35.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.7,0.8,2.0,1.0,80.0
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,Mason Mount,ENG,20.0,86.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,36.0,1.0,0.0,1.0,0.3,0.3,0.5,5.0,0.0,22.0,25.0,88.0,6.0,22.0,3.0,1.0,0.0,267.0,70.0,14.0,14.0,100.0,7.0,9.0,77.8,0.0,0.0,0.0,0.1,3.0,3.0,2.0,0.0,22.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,26.0,2.0,36.0,0.0,1.0,100.0,137.0,62.0,3.0,1.0,3.0,1.0,24.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,True,2019-2020,AM,None,None,None,0.9555555555555556,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,20.930232558139533,0.0,0.0,0.0,0.0,4.186046511627906,0.0,0.0,0.0,37.67441860465116,1.0465116279069766,0.0,1.0465116279069766,0.31395348837209297,0.31395348837209297,0.5232558139534883,5.232558139534883,0.0,23.023255813953487,26.162790697674417,92.09302325581395,6.27906976744186,23.023255813953487,3.13953488372093,1.0465116279069766,0.0,279.41860465116275,73.25581395348837,14.651162790697674,14.651162790697674,104.65116279069767,7.325581395348837,9.41860465116279,81.41860465116278,0.0,0.0,0.0,0.10465116279069768,3.13953488372093,3.13953488372093,2.093023255813953,0.0,23.023255813953487,3.13953488372093,2.093023255813953,0.0,0.0,2.093023255813953,1.0465116279069766,0.0,0.0,0.0,0.0,0.0,1.0465116279069766,0.0,0.0,0.0,1.0465116279069766,1.0465116279069766,3.13953488372093,34.848837209302324,2.093023255813953,0.0,1.0465116279069766,1.0465116279069766,0.0,0.0,0.0,0.0,11.511627906976743,27.209302325581394,2.093023255813953,37.67441860465116,0.0,1.0465116279069766,104.65116279069767,143.37209302325581,64.88372093023256,3.13953488372093,1.0465116279069766,3.13953488372093,1.0465116279069766,25.11627906976744,6.27906976744186,0.0,1.0465116279069766,2.093023255813953,0.0,0.0,0.0,0.0,4.186046511627906,0.0,3.13953488372093,0.0,1.0,1.7790697674418603,0.8372093023255814,2.093023255813953,1.0465116279069766,83.72093023255813
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,Billy Gilmour,SCO,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,100.0,1.0,3.0,0.0,0.0,0.0,49.0,23.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2019-2020,AM,None,None,None,0.044444444444444446,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,90.0,90.0,2250.0,22.5,67.5,0.0,0.0,0.0,1102.5,517.5,45.0,45.0,2250.0,22.5,22.5,2250.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,67.5,0.0,90.0,0.0,0.0,0.0,225.0,22.5,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.25,18.0,45.0,22.5,1800.0
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,Mateo Kovacic,CRO,25.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,101.0,3.0,1.0,0.0,0.0,0.0,0.1,6.0,1.0,86.0,96.0,89.6,14.0,74.0,2.0,3.0,3.0,1490.0,457.0,42.0,44.0,95.5,27.0,31.0,87.1,11.0,15.0,73.3,0.1,1.0,11.0,1.0,0.0,94.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,70.0,16.0,1.0,101.0,100.0,0.0,0.0,459.0,237.0,2.0,1.0,0.0,0.0,85.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0,True,2019-2020,DM,None,None,None,1.0,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,101.0,3.0,1.0,0.0,0.0,0.0,0.1,6.0,1.0,86.0,96.0,89.6,14.0,74.0,2.0,3.0,3.0,1490.0,457.0,42.0,44.0,95.5,27.0,31.0,87.1,11.0,15.0,73.3,0.1,1.0,11.0,1.0,0.0,94.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,70.0,16.0,1.0,101.0,100.0,0.0,0.0,459.0,237.0,2.0,1.0,0.0,0.0,85.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0,1.0,1.7,0.8,2.0,1.0,80.0
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,N'Golo Kante,FRA,28.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.0,1.0,3.0,2.0,0.1,0.1,0.1,5.0,0.0,70.0,78.0,89.7,12.0,66.0,1.0,0.0,0.0,1227.0,362.0,35.0,38.0,92.1,27.0,29.0,93.1,8.0,8.0,100.0,0.2,2.0,8.0,4.0,2.0,78.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,4.0,1.0,0.0,1.0,12.0,52.0,27.0,1.0,91.0,0.0,0.0,0.0,350.0,161.0,4.0,1.0,3.0,2.0,72.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0,True,2019-2020,DM,None,None,None,1.0,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.0,1.0,3.0,2.0,0.1,0.1,0.1,5.0,0.0,70.0,78.0,89.7,12.0,66.0,1.0,0.0,0.0,1227.0,362.0,35.0,38.0,92.1,27.0,29.0,93.1,8.0,8.0,100.0,0.2,2.0,8.0,4.0,2.0,78.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,4.0,1.0,0.0,1.0,12.0,52.0,27.0,1.0,91.0,0.0,0.0,0.0,350.0,161.0,4.0,1.0,3.0,2.0,72.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0,1.0,1.7,0.8,2.0,1.0,80.0
fb13bb64-8df9-5b5c-b626-6efb9f3628dc,Emerson Palmieri,ITA,25.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,75.0,2.0,1.0,1.0,0.1,0.1,0.1,2.0,0.0,50.0,61.0,82.0,2.0,39.0,1.0,0.0,0.0,631.0,127.0,33.0,37.0,89.2,11.0,15.0,73.3,2.0,4.0,50.0,0.0,1.0,2.0,0.0,0.0,50.0,11.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,20.0,30.0,25.0,3.0,75.0,0.0,0.0,0.0,153.0,66.0,0.0,1.0,3.0,2.0,42.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,60.0,True,2019-2020,LB,None,None,None,1.0,Chelsea_Crystal Palace,Chelsea_Crystal Palace_2019,1.7,0.8,2.0,1.0,2017-10-14,Andre Marriner,Selhurst Park,Sat,15:00,"25,480",80,Crystal Palace,Chelsea,72ed0e4d-8bd7-5231-ae61-5a5dadaad6f0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,75.0,2.0,1.0,1.0,0.1,0.1,0.1,2.0,0.0,50.0,61.0,82.0,2.0,39.0,1.0,0.0,0.0,631.0,127.0,33.0,37.0,89.2,11.0,15.0,73.3,2.0,4.0,50.0,0.0,1.0,2.0,0.0,0.0,50.0,11.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,20.0,30.0,25.0,3.0,75.0,0.0,0.0,0.0,153.0,66.0,0.0,1.0,3.0,2.0,42.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,60.0,1.0,1.7,0.8,2.0,1.0,80.0
